,Entity_x,Code,Year,Population density (people per km² of land area),GDP per capita (constant 2011 international $),Total population (Gapminder),"Estimates, 1950 - 2015: Population density (persons per square km), as of 1 July (persons per square km)",Urban population,Rural population,Urban (%),Rural (%),Entity_y,pdi_x,idv_x,mas_x,uai_x,ltowvs_x,ivr_x,Entity,pdi_y,idv_y,mas_y,uai_y,ltowvs_y,ivr_y
25,Hungary,HUN,2014,108.985618027173,24161.4255236519,9813335.0,108.398707610737,6928924,2937544,70.227,29.773001,Hungary,46.0,80.0,88.0,82.0,58.186397984886646,31.47321428571428,Hungary,46.0,80.0,88.0,82.0,58.186397984886646,31.47321428571428
26,India,IND,2014,435.17544926493105,5385.141814067029,1293859294.0,435.17544926493105,419003394,874855900,32.384,67.615997,India,77.0,48.0,56.0,40.0,50.8816120906801,26.1160714285714,India,77.0,48.0,56.0,40.0,50.8816120906801,26.1160714285714
27,Iraq,IRQ,2014,80.5997421256217,14838.382948376298,35006080.0,80.5997421256217,24419541,10586539,69.758,30.242001000000002,Iraq,,,,,24.9370277078086,16.7410714285714,Iraq,,,,,24.9370277078086,16.7410714285714
28,Israel,ISR,2014,379.65341959334603,31702.083536629503,7941329.0,366.974537892791,7566988,648712,92.104,7.895999900000001,Israel,13.0,54.0,47.0,81.0,37.531486146095716,,Israel,13.0,54.0,47.0,81.0,37.531486146095716,
29,Italy,ITA,2014,206.667369279935,33945.8438783585,59585668.0,202.575875433467,42109853,18679287,69.27199999999999,30.728001000000003,Italy,50.0,76.0,70.0,75.0,61.460957178841305,29.687499999999996,Italy,50.0,76.0,70.0,75.0,61.460957178841305,29.687499999999996
30,Jamaica,JAM,2014,264.27396121883703,8051.2440283060205,2862087.0,264.27396121883703,1562242,1299845,54.583999999999996,45.416000000000004,Jamaica,45.0,39.0,68.0,13.0,,,Jamaica,45.0,39.0,68.0,13.0,,
31,Japan,JPN,2014,349.122229536976,37337.3174057788,128162873.0,351.559772873778,116208079,11067921,91.304,8.6960001,Japan,54.0,46.0,95.0,92.0,87.9093198992443,41.7410714285714,Japan,54.0,46.0,95.0,92.0,87.9093198992443,41.7410714285714
32,Jordan,JOR,2014,99.22624464969591,8622.18546801292,8809306.0,99.22624464969591,7928375,880931,90.0,10.0,Jordan,,,,,16.120906801007557,43.08035714285714,Jordan,,,,,16.120906801007557,43.08035714285714
33,Luxembourg,LUX,2014,214.794980694981,93655.3341630648,556316.0,214.79382239382198,500042,56277,89.884,10.116,Luxembourg,40.0,60.0,50.0,70.0,63.979848866498735,56.02678571428571,Luxembourg,40.0,60.0,50.0,70.0,63.979848866498735,56.02678571428571
34,Macao,MAC,2014,19431.7161716172,130755.16070584301,,19691.6722408027,588781,0,100.0,0.0,Macedonia Rep,,,,,61.71284634760705,35.26785714285714,Macedonia Rep,,,,,61.71284634760705,35.26785714285714
35,Mali,MLI,2014,13.9018070956163,1865.1606218307102,16962846.0,13.9018070956163,6648757,10314089,39.196,60.804001,Mali,,,,,20.151133501259444,42.63392857142857,Mali,,,,,20.151133501259444,42.63392857142857
36,Malta,MLT,2014,1357.99375,31846.1895357267,425570.0,1329.90625,409992,24566,94.34700000000001,5.6529999,Malta,56.0,59.0,47.0,96.0,47.10327455919395,65.625,Malta,56.0,59.0,47.0,96.0,47.10327455919395,65.625
37,Mexico,MEX,2014,63.90164356079121,16622.5970457658,124221600.0,63.90164356079121,98126368,26095232,78.993,21.006999999999998,Mexico,81.0,30.0,69.0,82.0,24.1813602015113,97.3214285714286,Mexico,81.0,30.0,69.0,82.0,24.1813602015113,97.3214285714286
38,Mongolia,MNG,2014,1.88206184505265,11348.647341239699,2923896.0,1.88206184505265,1993015,930881,68.163,31.837,Montenegro,,,,,75.31486146095718,19.866071428571427,Montenegro,,,,,75.31486146095718,19.866071428571427
39,New Zealand,NZL,2014,17.1269606167635,34455.3312172237,4566700.0,17.3434354942843,3891014,618686,86.281,13.719000000000001,New Zealand,22.0,79.0,58.0,49.0,32.7455919395466,74.5535714285714,New Zealand,22.0,79.0,58.0,49.0,32.7455919395466,74.5535714285714
40,Norway,NOR,2014,14.0651672165259,63419.314778542,5140311.0,14.072710995762,4145335,991897,80.692,19.308001,Norway,31.0,69.0,8.0,50.0,34.5088161209068,55.13392857142857,Norway,31.0,69.0,8.0,50.0,34.5088161209068,55.13392857142857
41,Pakistan,PAK,2014,240.69408597966,4576.2270153496,185546257.0,240.69408597966,66460814,119085443,35.819,64.181,Pakistan,55.0,14.0,50.0,70.0,49.87405541561713,0.0,Pakistan,55.0,14.0,50.0,70.0,49.87405541561713,0.0
