,Entity_x,Code,Year,Population density (people per km² of land area),GDP per capita (constant 2011 international $),Total population (Gapminder),"Estimates, 1950 - 2015: Population density (persons per square km), as of 1 July (persons per square km)",Urban population,Rural population,Urban (%),Rural (%),pdi_x,idv_x,mas_x,uai_x,ltowvs_x,ivr_x,Unnamed: 0,Life_Expectancy(2016),Median_age(2017),%_total_population_in_urban_agglomerations>million(2017),Population_in_urban_areas>million(2017),%_population_in_urban_areas(2016),Urban_Land_area(sq.km)(2010),Entity,Date, (cases),Number of days since the 100th confirmed case (days)
43,Pakistan,PAK,2014,240.69408597966,4576.2270153496,185546257.0,240.69408597966,66460814,119085443,35.819,64.181,55.0,14.0,50.0,70.0,49.87405541561713,0.0,67,66.48100000000001,22.5,20.9754575460652,41324998,36.234,35871.94141,Pakistan,"Apr 13, 2020",5374.0,27.0
44,Panama,PAN,2014,52.5152811407049,20017.9943624961,3903986.0,52.5152811407049,2591115,1312871,66.37100000000001,33.629002,95.0,11.0,44.0,86.0,,,68,78.001,28.4,42.59792460182009,1745913,67.027,2892.144043,Panama,"Apr 13, 2020",3400.0,25.0
45,Peru,PER,2014,24.1979328125,11547.834216270901,30973354.0,24.1979328125,23903066,7070288,77.173,22.826999999999998,64.0,16.0,42.0,87.0,25.188916876574307,46.20535714285714,69,74.983,27.5,31.6938389083827,10194477,77.539,16425.76758,Peru,"Apr 13, 2020",7519.0,26.0
46,Philippines,PHL,2014,335.722067947815,6585.8959487088405,100102249.0,335.722067947815,46140130,53962119,46.093,53.907001,94.0,32.0,64.0,44.0,27.455919395465994,41.96428571428571,70,69.094,24.1,14.2753694810876,14977445,46.475,10817.37305,Philippines,"Apr 13, 2020",4648.0,29.0
47,Poland,POL,2014,124.144273163722,24347.0736576846,38293060.0,125.04672958233999,22960228,15051507,60.403,39.597,68.0,60.0,64.0,93.0,37.78337531486146,29.241071428571427,71,77.45121951,39.700001,4.6307098241748,1758551,60.178,30501.3418,Poland,"Apr 13, 2020",6674.0,29.0
48,Portugal,PRT,2014,113.54251405491001,26023.6978492184,10471168.0,114.32654219893,6546012,3855050,62.93600000000001,37.063999,63.0,27.0,31.0,104.0,28.211586901763223,33.25892857142857,72,81.12682927,43.900002,40.9648486581816,4216806,64.086,12764.67676,Portugal,"Apr 13, 2020",16585.0,30.0
49,Puerto Rico,PRI,2014,398.520180383315,35066.046376369704,,414.962232243517,3310445,224429,93.65100000000001,6.349,,,,,0.0,89.95535714285714,73,79.78831707,36.400002,73.6341524587998,2457302,93.602,8511.401367,Puerto Rico,"Apr 13, 2020",897.0,15.0
50,Romania,ROU,2014,86.5306806328234,19677.5202527307,19972736.0,86.77384541860359,10730940,9178039,53.9,46.099998,90.0,30.0,42.0,90.0,51.88916876574307,19.866071428571427,74,75.01219512,41.299999,9.34578079363587,1830515,53.9,15594.78906,Romania,"Apr 13, 2020",6300.0,29.0
51,Russia,RUS,2014,8.78187748941037,25284.586201985498,143761378.0,8.77831832334262,106354643,37465023,73.95,26.049999,93.0,39.0,36.0,95.0,81.360201511335,19.866071428571427,75,71.59292683,38.700001,22.970665346833602,33191473,74.164,187538.1445,Russia,"Apr 13, 2020",15770.0,26.0
52,Saudi Arabia,SAU,2014,14.3168187040922,49958.4433361471,30776722.0,14.3168187040922,25532369,5244353,82.96,17.040001,,,,,35.51637279596977,52.232142857142854,76,74.561,29.799999,46.7988685360678,15414711,83.40100000000002,41223.73828,Saudi Arabia,"Apr 13, 2020",4462.0,28.0
