countryWom,code,date,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop
Mongolia,MNG,15-Apr-20,30,,5,25,,9,,1000,305,3333333
Montenegro,MNE,15-Apr-20,288,4,55,229,7,459,6,3874,6168,627451
Myanmar,MMR,15-Apr-20,74,4,2,68,,1,0.07,2836,52,74000000
Malta,MLT,15-Apr-20,399,3,44,352,4,904,7,20139,45611,441372
Mali,MLI,15-Apr-20,148,13,34,101,,7,0.6,,,21142857
Macedonia,MKD,15-Apr-20,974,45,98,831,15,468,22,9262,4446,2081197
Mexico,MEX,15-Apr-20,5847,449,2125,3273,207,45,3,40091,311,129933333
Maldives,MDV,15-Apr-20,23,,16,7,,43,,2899,5363,534884
Macao,MDG,15-Apr-20,45,,15,30,1,69,,,,652174
Moldova,MDA,15-Apr-20,2049,46,171,1832,80,508,11,6271,1555,4033465
Monaco,MCO,15-Apr-20,93,3,12,78,2,2370,76,,,39241
Morocco,MAR,15-Apr-20,2024,127,229,1668,1,55,3,10392,282,36800000
Saint Martin,MAF,15-Apr-20,35,2,13,20,5,905,52,,,38674
Madagascar,MAC,15-Apr-20,110,,29,81,1,4,,,,27500000
Latvia,LVA,15-Apr-20,666,5,44,617,3,353,3,29896,15850,1886686
Luxembourg,LUX,15-Apr-20,3373,69,526,2778,33,5388,110,30723,49080,626021
Lithuania,LTU,15-Apr-20,1091,30,138,923,14,401,11,44677,16412,2720698
Sri Lanka,LKA,15-Apr-20,238,7,63,168,1,11,0.3,4768,223,21636364
Liechtenstein,LIE,15-Apr-20,79,1,55,23,,2072,26,900,23605,38127
Saint Lucia,LCA,15-Apr-20,15,,11,4,,82,,319,1737,182927
Libya,LBY,15-Apr-20,48,1,11,36,,7,0.1,634,92,6857143
Liberia,LBR,15-Apr-20,59,6,4,49,,12,1,,,4916667
Lebanon,LBN,15-Apr-20,658,21,85,552,30,96,3,17260,2529,6854167
Laos,LAO,15-Apr-20,19,,1,18,,3,,1235,170,6333333
Kuwait,KWT,15-Apr-20,1405,3,206,1196,31,329,0.7,,,4270517
South Korea,KOR,15-Apr-20,10613,229,7757,2627,55,207,4,538775,10509,51270531
Saint Kitts and Nevis,KNA,15-Apr-20,14,,,14,,263,,234,4399,53232
Cambodia,KHM,15-Apr-20,122,,98,24,1,7,,5768,345,17428571
Kyrgyzstan,KGZ,15-Apr-20,449,5,78,366,5,69,0.8,26147,4008,6507246
Kenya,KEN,15-Apr-20,225,10,53,162,2,4,0.2,9630,179,56250000
Kazakhstan,KAZ,15-Apr-20,1295,16,240,1039,20,69,0.9,81359,4333,18768116
Japan,JPN,15-Apr-20,8626,178,901,7547,168,68,1,94236,745,126852941
Jordan,JOR,15-Apr-20,401,7,250,144,5,39,0.7,20500,2009,10282051
Jamaica,JAM,15-Apr-20,125,5,21,99,,42,2,1391,470,2976190
Italy,ITA,15-Apr-20,165155,21645,38092,105418,3079,2732,358,1117404,18481,60452050
Israel,ISR,15-Apr-20,12501,130,2563,9808,180,1444,15,117339,13557,8657202
Iceland,ISL,15-Apr-20,1727,8,1077,642,8,5061,23,37386,109558,341237
Iraq,IRQ,15-Apr-20,1415,79,812,524,,35,2,46135,1147,40428571
Iran,IRN,15-Apr-20,76389,4777,49933,21679,3643,909,57,299204,3562,84036304
Ireland,IRL,15-Apr-20,12547,444,77,12026,158,2541,90,90646,18358,4937820
India,IND,15-Apr-20,12370,422,1508,10440,,9,0.3,274599,199,1374444444
Isle of Man,IMN,15-Apr-20,256,4,151,101,13,3011,47,2175,25578,85022
Indonesia,IDN,15-Apr-20,5136,469,446,4221,,19,2,36000,132,270315789
Hungary,HUN,15-Apr-20,1579,134,192,1253,58,163,14,37326,3864,9687117
Haiti,HTI,15-Apr-20,41,3,,38,,4,0.3,365,32,10250000
Croatia,HRV,15-Apr-20,1741,33,473,1235,31,424,8,19256,4691,4106132
Honduras,HND,15-Apr-20,426,35,9,382,10,43,4,1600,162,9906977
Hong Kong,HKG,15-Apr-20,1017,4,459,554,10,136,0.5,116273,15509,7477941
Guyana,GUY,15-Apr-20,55,6,8,41,5,70,8,213,271,785714
French Guiana,GUF,15-Apr-20,86,,51,35,1,288,,,,298611
Guatemala,GTM,15-Apr-20,196,5,19,172,3,11,0.3,7000,391,17818182
Greenland,GRL,15-Apr-20,11,,11,0,,194,,912,16065,56701
Grenada,GRD,15-Apr-20,14,,,14,2,124,,92,818,112903
Greece,GRC,15-Apr-20,2192,102,269,1821,72,210,10,50771,4871,10438095
Equatorial Guinea,GNQ,15-Apr-20,51,,4,47,,36,,854,609,1416667
Guinea-Bissau,GNB,15-Apr-20,43,,,43,,22,,1500,762,1954545
Gambia,GMB,15-Apr-20,9,1,2,6,,4,0.4,281,116,2250000
Guadeloupe,GLP,15-Apr-20,145,8,67,70,13,362,20,,,400552
Guinea,GIN,15-Apr-20,404,1,31,372,,31,0.08,,,13032258
Gibraltar,GIB,15-Apr-20,131,,104,27,1,3888,,1649,48945,33693
Ghana,GHA,15-Apr-20,641,8,83,550,2,21,0.3,50719,1632,30523810
Georgia,GEO,15-Apr-20,306,3,71,232,6,77,0.8,5027,1260,3974026
UK,GBR,15-Apr-20,98476,12868,N/A,85264,1559,1451,190,398916,5876,67867677
Gabon,GAB,15-Apr-20,80,1,4,75,,36,0.4,,,2222222
Faeroe Islands,FRO,15-Apr-20,184,,166,18,,3766,,5677,116182,48858
France,FRA,15-Apr-20,147863,17167,30955,99741,6457,2265,263,333807,5114,65281678
Falkland Islands,FLK,15-Apr-20,11,,1,10,,3161,,137,39368,3480
Fiji,FJI,15-Apr-20,16,,,16,,18,,,,888889
Finland,FIN,15-Apr-20,3237,72,300,2865,75,584,13,48828,8813,5542808
Ethiopia,ETH,15-Apr-20,85,3,15,67,,0.7,0.03,4988,43,121428571
Estonia,EST,15-Apr-20,1400,35,117,1248,10,1055,26,33967,25606,1327014
Spain,ESP,15-Apr-20,180659,18812,70853,90994,7371,3864,402,650755,13918,46754400
Western Sahara,ESH,15-Apr-20,6,,,6,,10,,,,600000
Eritrea,ERI,15-Apr-20,35,,,35,,10,,,,3500000
Egypt,EGY,15-Apr-20,2505,183,589,1733,,24,2,25000,244,104375000
Ecuador,ECU,15-Apr-20,7858,388,780,6690,135,445,22,26093,1479,17658427
Algeria,DZA,15-Apr-20,2160,336,708,1116,60,49,8,3359,77,44081633
Dominican Republic,DOM,15-Apr-20,3614,189,208,3217,143,333,17,9275,855,10852853
Denmark,DNK,15-Apr-20,6681,309,2748,3624,89,1153,53,77712,13417,5794449
Dominica,DMA,15-Apr-20,16,,8,8,,222,,345,4793,72072
Djibouti,DJI,15-Apr-20,435,2,71,362,,440,2,5936,6008,988636
Germany,DEU,15-Apr-20,134753,3804,72600,58349,4288,1608,45,1728357,20629,83801617
Czech Republic,CZE,15-Apr-20,6301,166,819,5316,84,588,16,137672,12856,10715986
Cyprus,CYP,15-Apr-20,715,12,65,638,8,592,10,17923,14845,1207770
