,Entity,Code,popDensity,gdp,gapPop,urbanPop,ruralPop,urbanPct,ruralPct,lifeExpectancy,globalCode,globalName,regionCode,regionName,subRegionCode,subRegionName,interRegionCode,interRegionName,country,m49,ldc,lldc,sids,development,countryWom,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,medianAge,pdi,idv,mas,uai,ltowvs,ivr,Date,cases,days_gt_100,log_cases,casesPop,logcasesPop,logcasesMPop,slope,intercept,rvalue,pvalue,stderr,slopePop,interceptPop,rvaluePop,pvaluePop,stderrPop
10,Finland,FIN,18.030110888091897,38941.7636030551,5481966.0,4669930,809601,85.225,14.775,81.4804878048781,1,World,150,Europe,154,Northern Europe,,,Finland,246,,,,Developed,Finland,3237,72.0,300.0,2865,75.0,584.0,13.0,48828.0,8813.0,5542808,42.5,33.0,63.0,26.0,59.0,38.0,57.0,1586649600,2905.0,30.0,7.974188669286011,0.0005241025848270408,-7.553823120233492,6.369900982828227,1.0436958503339601e-06,-1647.8838791581875,0.9836598231593057,2.1100077039542326e-25,3.376882963590967e-08,1.0436958503339604e-06,-1663.4118909477074,0.9836598231593059,2.1100077039537827e-25,3.376882963590944e-08
11,France,FRA,121.61905701141599,37766.374111687204,64457201.0,53044946,13548420,79.655,20.344998999999998,82.2731707317073,1,World,150,Europe,155,Western Europe,,,France,250,,,,Developed,France,147863,17167.0,30955.0,99741,6457.0,2265.0,263.0,333807.0,5114.0,65281678,41.200001,68.0,71.0,43.0,86.0,63.0,48.0,1585612800,44550.0,30.0,10.704367432898955,0.0006824273113813037,-7.289854540047674,7.725330037917135,1.7467994376842158e-06,-2759.4083348406307,0.9612102987587587,3.03003076582711e-26,7.556463514855916e-08,1.746799437684216e-06,-2777.4025568135776,0.961210298758759,3.030030765826722e-26,7.556463514855895e-08
12,Germany,DEU,234.153658068159,43937.9471317278,81707789.0,63062064,18624547,77.2,22.799999,80.64146341463409,1,World,150,Europe,155,Western Europe,,,Germany,276,,,,Developed,Germany,134753,3804.0,72600.0,58349,4288.0,1608.0,45.0,1728357.0,20629.0,83801617,45.900002,35.0,67.0,66.0,65.0,83.0,40.0,1585612800,61913.0,30.0,11.033485452777471,0.000738804359825181,-7.210477408431397,7.382746449738912,1.87842208375811e-06,-2967.888365304533,0.9605343079709294,4.400650009888241e-26,8.20070237085932e-08,1.87842208375811e-06,-2986.132328165742,0.9605343079709294,4.400650009888241e-26,8.20070237085932e-08
13,Greece,GRC,83.947889837083,24170.3018369872,11217800.0,8445266,2375617,78.046,21.954,81.0365853658537,1,World,150,Europe,39,Southern Europe,,,Greece,300,,,,Developed,Greece,2192,102.0,269.0,1821,72.0,210.0,10.0,50771.0,4871.0,10438095,43.299999,60.0,35.0,57.0,112.0,45.0,50.0,1586649600,2081.0,30.0,7.640603826393634,0.00019936588045998816,-8.520368826110857,5.3471075307174685,8.7383335984269e-07,-1378.6455454565985,0.9632620392387861,7.775595007489201e-20,4.3068112943113014e-08,8.738333598426902e-07,-1394.8065181091033,0.963262039238786,7.775595007489478e-20,4.3068112943113094e-08
14,Hong Kong,HKG,6944.095238095239,53591.835819824,7245701.0,7291300,0,100.0,0.0,84.2780487804878,1,World,142,Asia,30,Eastern Asia,,,Hong Kong,344,,,,Developed,Hong Kong,1017,4.0,459.0,554,10.0,136.0,0.5,116273.0,15509.0,7477941,43.200001,68.0,25.0,57.0,29.0,61.0,17.0,1585785600,784.0,30.0,6.664409020350408,0.00010484169372291116,-9.163059024327554,4.912654885736052,7.774400686886678e-07,-1226.4256025275918,0.9799420986724001,4.718679257606803e-31,2.4395563248064506e-08,7.77440068688668e-07,-1242.25307057227,0.9799420986724003,4.718679257605662e-31,2.439556324806437e-08
15,Iceland,ISL,3.29990024937656,43048.125145278704,330243.0,309974,20841,93.7,6.3000002,82.4682926829268,1,World,150,Europe,154,Northern Europe,,,Iceland,352,,,,Developed,Iceland,1727,8.0,1077.0,642,8.0,5061.0,23.0,37386.0,109558.0,341237,36.0,30.0,60.0,10.0,50.0,28.0,67.0,1586649600,1689.0,30.0,7.4318919168078,0.004949639107130821,-5.308440612709769,8.529319371214077,9.6340025383465e-07,-1520.8725063826141,0.9459186121040003,3.337248401330366e-17,5.840691215041495e-08,9.6340025383465e-07,-1533.6128389121316,0.9459186121040002,3.337248401330485e-17,5.8406912150415025e-08
16,Indonesia,IDN,142.507390274734,10367.7019920006,258162113.0,137633967,120528146,53.313,46.687,69.025,1,World,142,Asia,35,South-eastern Asia,,,Indonesia,360,,,,Developing,Indonesia,5136,469.0,446.0,4221,,19.0,2.0,36000.0,132.0,270315789,28.0,78.0,14.0,46.0,48.0,62.0,38.0,1586908800,4839.0,30.0,8.48446336679332,1.7901285078098047e-05,-10.930638055621976,2.9444389791664403,1.3826372314144856e-06,-2185.3285308032036,0.9761917174038087,8.48891526118828e-21,5.704961285936136e-08,1.3826372314144856e-06,-2204.743632225619,0.9761917174038091,8.488915261186588e-21,5.7049612859360956e-08
17,Iran,IRN,48.724481814386394,16500.9005123884,79360487.0,58217266,21143221,73.358,26.642,75.73,1,World,142,Asia,34,Southern Asia,,,Iran,364,,,,Developing,Iran,76389,4777.0,49933.0,21679,3643.0,909.0,57.0,299204.0,3562.0,84036304,29.5,58.0,41.0,43.0,59.0,14.0,40.0,1585353600,32332.0,30.0,10.383812730853736,0.0003847384815971916,-7.86294672306264,6.812345094177479,1.1901908078841684e-06,-1876.7076825759198,0.9208913865153053,7.385381485746534e-21,7.34890347182536e-08,1.1901908078841682e-06,-1894.9544420298355,0.9208913865153052,7.385381485746796e-21,7.348903471825367e-08
18,Iraq,IRQ,83.1544690550746,15072.8686710974,36115649.0,25252423,10863226,69.921,30.079,69.672,1,World,142,Asia,145,Western Asia,,,Iraq,368,,,,Developing,Iraq,1415,79.0,812.0,524,,35.0,2.0,46135.0,1147.0,40428571,19.4,95.0,30.0,70.0,85.0,25.0,17.0,1586908800,1400.0,30.0,7.24422751560335,3.462897563210928e-05,-10.270819780348141,3.5553480614894135,1.0132292093965953e-06,-1600.3504679813777,0.9862719959358539,3.086583366246562e-24,3.1501777487344454e-08,1.0132292093965955e-06,-1617.8655152773295,0.9862719959358539,3.086583366246562e-24,3.150177748734446e-08
19,Ireland,IRL,68.2531136594571,60818.046239853604,4700107.0,2940510,1761447,62.538000000000004,37.462002000000005,81.45365853658541,1,World,150,Europe,154,Northern Europe,,,Ireland,372,,,,Developed,Ireland,12547,444.0,77.0,12026,158.0,2541.0,90.0,90646.0,18358.0,4937820,36.900002,28.0,70.0,68.0,35.0,24.0,65.0,1586822400,10647.0,30.0,9.273033441314606,0.0021562146858330193,-6.139401054903405,7.840312983320164,1.5389830788786752e-06,-2432.5315714564704,0.9744745284295975,5.0892359283466475e-21,6.473145673573208e-08,1.5389830788786752e-06,-2447.9440059526883,0.9744745284295976,5.0892359283463586e-21,6.473145673573193e-08
