code,slope,intercept,rvalue,pvalue,stderr
ALB,0.13732295275080086,4.668187095578758,0.9750597282580932,0.0009252690934088059,0.01562869174119992
ARE,0.0692685948983073,4.7266512336589255,0.9299873426918739,0.007181065226980133,0.013689729153457675
ARG,0.21808324992268086,4.884751369478525,0.9902285759793445,0.00014275459975059243,0.01535632405959423
ARM,0.11731880472228151,4.715313672409329,0.9833870684067613,0.00041169174687268365,0.010827794831121966
AUS,0.18483149214313774,4.539665202423305,0.9880737239878239,0.00021250591602555937,0.014402082502759348
AUT,0.32372525794817847,4.57751395277936,0.9983086372441382,4.288642710415047e-06,0.009426086604995342
AZE,0.17469339250291122,4.857078641970356,0.987303344819268,0.00024078419668335522,0.014053115610725466
BEL,0.19544061526315862,4.833509988498815,0.9688880526778169,0.0014368724437536107,0.024962342290621425
BFA,0.11913701668904042,4.784157920854711,0.9656065870431528,0.0017540181802566759,0.01603992901249231
BGD,0.28837135620816085,4.8329576211010625,0.9914786745394385,0.00010861010195719843,0.018944369390374742
BGR,0.14863700200134886,4.713271814482068,0.9769431557807506,0.0007912983805676337,0.016241445171122807
BIH,0.11868559737158849,4.80435909706807,0.9692038738563094,0.001407998533836451,0.01507808782863937
BLR,0.27531781856380233,4.657737585529229,0.9785122510510825,0.0006876243345706734,0.029007004964459748
BRA,0.30508920915996457,4.85614473913163,0.989440519499202,0.00016666523775466503,0.022345697521694855
CAN,0.27917224611467745,4.634802059772702,0.9989536111254377,1.6418216540955784e-06,0.006390647138977209
CHE,0.21673599859996753,5.3426046395395455,0.9954591348136734,3.0882369874179265e-05,0.010362590645241166
CHL,0.25292769650890734,5.037561584503058,0.9965855319772055,1.7467983873449448e-05,0.010477491083615202
CHN,0.2933975742518826,5.311962910841145,0.9881076180953479,0.00021130215871115936,0.022828461519018566
COL,0.2171497054772765,4.6354384458142865,0.996522675441614,1.8116655594178697e-05,0.00907824294992469
CRI,0.12246480208965564,4.682079865962674,0.990667789467846,0.00013022885830119062,0.008424514949259665
CYP,0.08776363090502735,4.733134663083972,0.9944758688096544,4.568975084834166e-05,0.004631660544557369
CZE,0.2690973793224338,4.784086748061195,0.9924268469224715,8.581180111392411e-05,0.016653692008920397
DEU,0.250203910887392,4.618408909635171,0.9830775532726101,0.00042713077106891267,0.023311903966846705
DNK,0.38751774829188873,5.110045750534585,0.9237270486410764,0.008504483309480964,0.08034797633310495
DOM,0.27399457363493696,4.88711443469501,0.9778434075119383,0.000730933388756954,0.029328516171551987
DZA,0.20131201411095817,4.884338330593746,0.9066647972622869,0.012660647159243345,0.04683309464696887
ECU,0.400724389972221,4.686297052052277,0.9881536806056315,0.00020967169649658405,0.031117735341118714
EGY,0.1692025467316478,4.713518582425545,0.9889525507738173,0.000182395052371082,0.012680741903136655
ESP,0.2750018492582584,4.7465548877180685,0.9964103499836504,1.930525348559472e-05,0.011682030851207894
EST,0.15824460452879657,4.898707540266442,0.9423460459505575,0.004890147376829883,0.028097414270643245
FIN,0.14535733437794662,5.060228551723136,0.9861096616316001,0.00028807223862289006,0.012241644552320272
FRA,0.27830505368885894,4.589393335898302,0.9952227372160554,3.417884564209477e-05,0.01365073594173005
GBR,0.2342257099933705,4.8259440310029715,0.9891783156139627,0.00017502962190378045,0.017370578051909405
GEO,0.09794964074951738,4.664078634472767,0.9789219303792169,0.0006617451931275383,0.01021773281074643
GHA,0.031206068766345473,4.892515544972719,0.9405516233638238,0.005196115691155716,0.0056345472913883815
GRC,0.21608491087930273,4.991603235025346,0.9701124159858933,0.001326552710910784,0.02702484997514233
GTM,0.06848089900904729,4.853382323265472,0.9875715147111571,0.00023074097291164334,0.005449308383898442
HKG,0.0220669450078769,4.604374006364929,0.9768643540614924,0.0007966953983940264,0.0024155009050899796
HND,0.14495751591120076,4.724765839855917,0.9756184967686856,0.0008844396635633873,0.016304688191292323
HRV,0.2656790707909514,4.658659022953546,0.9885752167367275,0.00019504289515917867,0.020254084876863948
HUN,0.182802426517615,4.683674624922147,0.9929561431188095,7.424913592512292e-05,0.010906264501641822
IDN,0.1839190675168978,4.725751328333542,0.9753104941291967,0.0009068325381819517,0.02082225439378268
IND,0.18324784573384018,4.7614224308976,0.9834394690854131,0.00040910590365255165,0.016885263852020667
IRL,0.28290143040203153,4.842552301718554,0.9964715964572604,1.8652483678574728e-05,0.011914091093562734
