,Entity,Code,Year,pop_density,gdp,total_pop,urban_pop,rural_pop,urban_pct,rural_pct,life_expectancy,median_age,pdi,idv,mas,uai,ltowvs,ivr
467,Iran,IRN,2015,48.724481814386394,16500.9005123884,79360487.0,58217266,21143221,73.358,26.642,75.73,29.5,58,41,43,59,14,40
479,Iraq,IRQ,2015,83.1544690550746,15072.8686710974,36115649.0,25252423,10863226,69.921,30.079,69.672,19.4,#NULL!,#NULL!,#NULL!,#NULL!,25,17
491,Ireland,IRL,2015,68.2531136594571,60818.046239853604,4700107.0,2940510,1761447,62.538000000000004,37.462002000000005,81.45365853658541,36.900002,28,70,68,35,24,65
501,Israel,ISR,2015,387.250462107209,32024.3527705394,8064547.0,7724692,655408,92.179,7.821000099999999,82.05121951219509,30.200001,13,54,47,81,38,#NULL!
513,Italy,ITA,2015,206.468287210172,34302.0374026544,59504212.0,42247229,18483353,69.565,30.434998999999998,82.54390243902441,45.900002,50,76,70,75,61,30
525,Jamaica,JAM,2015,265.18319482917803,8095.26186704479,2871934.0,1574768,1297166,54.833,45.167,75.836,29.4,45,39,68,13,#NULL!,#NULL!
537,Japan,JPN,2015,348.751920122888,37882.980624441,127974958.0,116182717,10958283,91.381,8.619000400000001,83.79390243902441,46.299999,54,46,95,92,88,42
549,Jordan,JOR,2015,103.16852894796101,8491.05031104045,9159302.0,8266820,892482,90.256,9.744000400000001,74.182,22.1,#NULL!,#NULL!,#NULL!,#NULL!,16,43
561,Latvia,LVA,2015,31.803264715342603,23018.8161056707,1992663.0,1344323,633204,67.98,32.02,74.4804878048781,42.5,44,70,9,63,69,13
573,Lithuania,LTU,2015,46.3702391214124,27045.713019289,2931926.0,1952971,951939,67.23,32.77,74.3219512195122,42.700001,42,60,19,65,82,16
585,Luxembourg,LUX,2015,219.924324324324,94088.5922250508,566741.0,513663,55941,90.179,9.8210001,82.2926829268293,39.299999,40,60,50,70,64,56
597,Malaysia,MYS,2015,93.51135291432051,25001.6126731494,30723155.0,22800575,7922580,74.21300000000001,25.787001,75.143,27.700001,104,26,50,36,41,57
609,Mali,MLI,2015,14.315725419811699,1919.2284214274,17467905.0,6985590,10482315,39.991,60.008998999999996,57.478,16.0,#NULL!,#NULL!,#NULL!,#NULL!,20,43
621,Malta,MLT,2015,1390.790625,34087.0815138045,427616.0,420192,24861,94.414,5.586,81.7975609756098,40.900002,56,59,47,96,47,66
633,Mexico,MEX,2015,64.7603842691427,16938.6054057995,125890949.0,99812639,26078310,79.285,20.715,76.933,27.5,81,30,69,82,24,97
645,Moldova,MDA,2015,123.806319016268,4746.7849111142295,4065980.0,1510140,2043968,42.49,57.509997999999996,71.468,35.599998,#NULL!,#NULL!,#NULL!,#NULL!,71,19
657,Montenegro,MNE,2015,46.25717472118961,15289.7211914952,628178.0,409418,212741,65.806,34.194,76.938,37.700001,#NULL!,#NULL!,#NULL!,#NULL!,75,20
669,Morocco,MAR,2015,77.98190006721941,7296.9344014319095,34803322.0,21163552,13639770,60.809,39.191002000000005,75.57300000000001,27.9,70,46,53,68,14,25
681,Netherlands,NLD,2015,502.81754229741796,46494.3642578078,16938499.0,15275237,1664686,90.17299999999999,9.826999699999998,81.509756097561,42.099998,38,80,14,53,67,68
693,New Zealand,NZL,2015,17.4535718354791,35309.8237244851,4614532.0,3967973,627727,86.34100000000001,13.659,81.45682926829271,37.299999,22,79,58,49,33,75
705,Nigeria,NGA,2015,198.932490090802,5670.63944311027,181181744.0,86673723,94508021,47.838,52.161999,52.985,17.9,#NULL!,#NULL!,#NULL!,#NULL!,13,84
717,Norway,NOR,2015,14.210294459883098,64008.2868303461,5199836.0,4208817,981422,81.09100000000001,18.909000000000002,82.3048780487805,39.200001,31,69,8,50,35,55
729,Pakistan,PAK,2015,245.667954804898,4695.69987892337,189380513.0,68226224,121154289,36.025999999999996,63.973999,66.322,22.5,55,14,50,70,50,0
741,Panama,PAN,2015,53.3931799838579,20786.6596878595,3969249.0,2647330,1321919,66.696,33.304001,77.806,28.4,95,11,44,86,#NULL!,#NULL!
753,Peru,PER,2015,24.51302421875,11770.034448234499,31376671.0,24272051,7104620,77.357,22.643,74.747,27.5,64,16,42,87,25,46
765,Philippines,PHL,2015,341.13545628332804,6874.58256551739,101716359.0,47078400,54637959,46.284,53.716,68.95100000000001,24.1,94,32,64,44,27,42
777,Poland,POL,2015,124.061569613639,25299.9743484897,38265226.0,22897449,15088963,60.278,39.722,77.4512195121951,39.700001,68,60,64,93,38,29
789,Portugal,PRT,2015,113.072025849835,26607.8331233896,10418473.0,6578828,3779248,63.513999999999996,36.486,81.1243902439025,43.900002,63,27,31,104,28,33
800,Puerto Rico,PRI,2015,391.564487034949,35291.8442055799,,3251727,221450,93.624,6.3759999,79.5961219512195,36.400002,#NULL!,#NULL!,#NULL!,#NULL!,0,90
812,Romania,ROU,2015,86.1243089360223,20556.003642336298,19876621.0,10677968,9137513,53.887,46.112999,75.0121951219512,41.299999,90,30,42,90,52,20
824,Russia,RUS,2015,8.79880404497318,24516.5499502712,143888004.0,106703732,37393138,74.05,25.950001,71.1682926829268,38.700001,93,39,36,95,81,20
836,Rwanda,RWA,2015,471.404661532225,1731.04342267746,11629553.0,1977489,9652064,17.004,82.996002,66.696,19.4,#NULL!,#NULL!,#NULL!,#NULL!,18,37
848,Saudi Arabia,SAU,2015,14.679858026041,50723.7126450691,31557144.0,26249232,5307912,83.18,16.82,74.4,29.799999,#NULL!,#NULL!,#NULL!,#NULL!,36,52
860,Singapore,SGP,2015,7806.77291960508,81741.096935529,5535262.0,5535002,0,100.0,0.0,82.74390243902441,40.0,74,20,48,8,72,46
872,Slovenia,SVN,2015,102.45933465739799,29037.7416756681,2074788.0,1109788,953743,53.781000000000006,46.219002,80.7756097560976,43.0,71,27,19,88,49,48
884,South Africa,ZAF,2015,45.5788317437288,12377.6592598329,55291225.0,35844195,19447030,64.828,35.172001,61.981,26.1,#NULL!,#NULL!,#NULL!,#NULL!,34,63
896,Spain,ESP,2015,92.84621197279671,32291.1551993266,46397664.0,36971015,9473817,79.602,20.398001,82.8317073170732,43.200001,57,51,42,86,48,44
908,Suriname,SUR,2015,3.54620512820513,14766.799179583899,553208.0,365427,187781,66.056,33.944,71.279,28.4,85,47,37,92,#NULL!,#NULL!
920,Sweden,SWE,2015,24.058299575262104,45679.2779973863,9763565.0,8481489,1317697,86.553,13.447000000000001,82.2048780487805,40.900002,31,71,5,29,53,78
932,Switzerland,CHE,2015,209.596011742079,57264.15739706349,8319769.0,6105617,2176779,73.718,26.281999999999996,82.89756097560979,42.200001,34,68,70,58,74,66
944,Tanzania,TZA,2015,60.8263230977647,2490.9571005653797,53879957.0,17035226,36844731,31.616999999999997,68.383003,64.95,17.299999,#NULL!,#NULL!,#NULL!,#NULL!,34,38
956,Thailand,THA,2015,134.388224471021,15252.228253058101,68657600.0,32745556,35912044,47.693999999999996,52.306000000000004,75.10300000000001,37.799999,64,20,34,64,32,45
968,Trinidad and Tobago,TTO,2015,265.12514619883,31524.588622109903,1360092.0,725187,634905,53.318999999999996,46.681000000000004,70.556,33.900002,47,16,58,55,13,80
980,Turkey,TUR,2015,101.700131231891,23388.4813019367,78271472.0,57616413,20655059,73.611,26.389,75.498,29.9,66,37,45,85,46,49
992,Uganda,UGA,2015,200.20382006782398,1665.9499053310199,40144870.0,8855958,31288912,22.06,77.940002,59.575,15.8,#NULL!,#NULL!,#NULL!,#NULL!,24,52
1004,Ukraine,UKR,2015,77.9477304820072,7464.939833592941,44657704.0,31183824,13970205,69.061,30.938999,71.189512195122,40.299999,#NULL!,#NULL!,#NULL!,#NULL!,86,14
1016,Uruguay,URY,2015,19.606627813964103,19831.4458985188,3431552.0,3261519,170033,95.045,4.954999900000001,77.34100000000001,34.900002,61,36,38,100,26,53
1028,Venezuela,VEN,2015,35.3212788390681,,31155134.0,27464497,3690637,88.154,11.845999999999998,74.367,27.4,81,12,73,76,16,100
1040,Vietnam,VNM,2015,301.775621633825,5554.85805564661,93571567.0,31635611,61935956,33.809,66.191002,76.05199999999999,30.4,70,20,40,30,57,35
1052,Zambia,ZMB,2015,21.658331427649003,3627.2020409377205,16100587.0,6747273,9353314,41.907,58.092999,61.397,17.1,#NULL!,#NULL!,#NULL!,#NULL!,30,42
1064,Zimbabwe,ZWE,2015,40.7844151479902,1912.2802605400602,15777451.0,5109528,10667923,32.385,67.614998,60.398,19.0,#NULL!,#NULL!,#NULL!,#NULL!,15,28
