,Entity,code,popDensity,gdp,gapPop,urbanPop,ruralPop,urbanPct,ruralPct,lifeExpectancy,medianAge,globalName,regionCode,regionName,subRegionCode,subRegionName,interRegionName,country_x,m49,development,countryWom,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,pdi,idv,mas,uai,ltowvs,ivr,country_y,date,cases,daysGT100,logCases,casesPop,logCasesPop,logCasesMPop,slope,intercept,rvalue,pvalue,stderr,slopePop,interceptPop,rvaluePop,pvaluePop,stderrPop
0,Albania,ALB,105.135145985401,10970.4522447693,2923352.0,1654503,1226200,57.434,42.566002000000005,78.17399999999999,36.200001,World,150,Europe,39,Southern Europe,,Albania,8,Developed,Albania,494,25.0,251.0,218,5.0,172.0,9.0,4558.0,1584.0,2872093,90.0,20.0,80.0,70.0,61.0,15.0,Albania,1585440000,197.0,5.0,5.2832037287379885,6.859109367280238e-05,-9.58734786150359,5.147494476813453,0.13732295275080086,4.668187095578758,0.9750597282580932,0.0009252690934088059,0.01562869174119992,0.13732295275080067,-10.202364494662817,0.9750597282580931,0.0009252690934088133,0.01562869174119994
1,Algeria,DZA,16.7405040012764,13724.723852895,39871528.0,28248180,11623348,70.848,29.151999999999997,75.86,27.5,World,2,Africa,15,Northern Africa,,Algeria,12,Developing,Algeria,2160,336.0,708.0,1116,60.0,49.0,8.0,3359.0,77.0,44081633,,,,,26.0,32.0,Algeria,1585353600,305.0,5.0,5.720311776607412,6.918981427026535e-06,-11.881241991794816,3.8918202981106265,0.20131201411095817,4.884338330593746,0.9066647972622869,0.012660647159243345,0.04683309464696887,0.2013120141109583,-12.717215437808482,0.9066647972622868,0.012660647159243376,0.046833094646968935
2,Argentina,ARG,15.8650650968871,19116.907914513202,43417765.0,39728558,3689207,91.50299999999999,8.496999699999998,76.415,30.799999,World,19,Americas,419,Latin America and the Caribbean,South America,Argentina,32,Developing,Argentina,2571,112.0,596.0,1863,117.0,57.0,2.0,24374.0,539.0,45105263,49.0,46.0,56.0,86.0,20.0,62.0,Argentina,1585094400,387.0,5.0,5.958424693029782,8.579930018366149e-06,-11.666084800865248,4.04305126783455,0.21808324992268086,4.884751369478525,0.9902285759793445,0.00014275459975059243,0.01535632405959423,0.21808324992268108,-12.739758124416506,0.9902285759793445,0.00014275459975059243,0.015356324059594246
3,Armenia,ARM,102.456972251493,8195.93364956571,2916950.0,1840158,1076792,63.085,36.915001000000004,74.445,33.900002,World,142,Asia,145,Western Asia,,Armenia,51,Developing,Armenia,1111,17.0,297.0,797,30.0,375.0,6.0,9095.0,3069.0,2962667,,,,,61.0,,Armenia,1585008000,194.0,5.0,5.267858159063328,6.548154078740541e-05,-9.63374227508141,5.926926025970411,0.11731880472228151,4.715313672409329,0.9833870684067613,0.00041169174687268365,0.010827794831121966,0.11731880472228182,-10.18628676173541,0.983387068406761,0.00041169174687269504,0.01082779483112207
4,Australia,AUS,3.10464105801648,43923.2582693466,23799556.0,20440360,3410424,85.70100000000001,14.299000000000001,82.4,37.400002,World,9,Oceania,53,Australia and New Zealand,,Australia,36,Developed,Australia,6462,63.0,3702.0,2697,76.0,253.0,2.0,377024.0,14785.0,25541502,38.0,90.0,61.0,51.0,21.0,71.0,Australia,1584230400,249.0,5.0,5.517452896464707,9.74883935956468e-06,-11.538362320084994,5.53338948872752,0.18483149214313774,4.539665202423305,0.9880737239878239,0.00021250591602555937,0.014402082502759348,0.18483149214313796,-12.516150014126397,0.988073723987824,0.00021250591602555523,0.014402082502759298
5,Austria,AUT,104.730790203943,44304.967756787,8678657.0,4988134,3654565,57.715,42.285,81.19024390243901,43.200001,World,150,Europe,155,Western Europe,,Austria,40,Developed,Austria,14350,393.0,8098.0,5859,232.0,1593.0,44.0,156801.0,17410.0,9008161,11.0,55.0,79.0,70.0,60.0,63.0,Austria,1584144000,504.0,5.0,6.222576268071369,5.594926644850153e-05,-9.791065234132295,7.373374309910049,0.32372525794817847,4.57751395277936,0.9983086372441382,4.288642710415047e-06,0.009426086604995342,0.32372525794817847,-11.436127549424306,0.9983086372441383,4.288642710414483e-06,0.009426086604995032
6,Azerbaijan,AZE,116.73107678163099,16698.8636532538,9617484.0,5279540,4369801,54.714,45.285999,71.921,30.299999,World,142,Asia,145,Western Asia,,Azerbaijan,31,Developing,Azerbaijan,1253,13.0,404.0,836,24.0,124.0,1.0,75397.0,7436.0,10104839,,,,,61.0,22.0,Azerbaijan,1585699200,298.0,5.0,5.697093486505405,2.949082117983275e-05,-10.431431489480946,4.820281565605037,0.17469339250291122,4.857078641970356,0.987303344819268,0.00024078419668335522,0.014053115610725466,0.17469339250291122,-11.271446334015993,0.987303344819268,0.00024078419668335522,0.014053115610725465
7,Bangladesh,BGD,1238.38738572636,3132.56754015214,161200886.0,55304800,105896086,34.308,65.692001,72.155,25.6,World,142,Asia,34,Southern Asia,,Bangladesh,50,Developing,Bangladesh,1231,50.0,49.0,1132,1.0,7.0,0.3,14868.0,90.0,175857143,80.0,20.0,55.0,60.0,47.0,20.0,Bangladesh,1586649600,482.0,5.0,6.1779441140506,2.7408610863193657e-06,-12.807238421855162,1.9459101490553132,0.28837135620816085,4.8329576211010625,0.9914786745394385,0.00010861010195719843,0.018944369390374742,0.28837135620816073,-14.1522249148047,0.9914786745394383,0.00010861010195720405,0.018944369390374985
8,Belarus,BLR,46.767611256222,17229.5551904045,9485772.0,7324181,2165435,77.181,22.819000000000003,73.6243902439025,39.599998,World,150,Europe,151,Eastern Europe,,Belarus,112,Developed,Belarus,3728,36.0,203.0,3489,68.0,395.0,4.0,76198.0,8064.0,9437975,,,,,81.0,15.0,Belarus,1586044800,394.0,5.0,5.976350909297934,4.174624323543981e-05,-10.083901093100742,5.978885764901122,0.27531781856380233,4.657737585529229,0.9785122510510825,0.0006876243345706734,0.029007004964459748,0.2753178185638025,-11.40251441686945,0.9785122510510824,0.0006876243345706801,0.029007004964459845
9,Belgium,BEL,372.33143989432,41708.2123401731,11287940.0,11034732,239464,97.876,2.1240001,80.9926829268293,41.299999,World,150,Europe,155,Western Europe,,Belgium,56,Developed,Belgium,33573,4440.0,7107.0,22026,1204.0,2897.0,383.0,128132.0,11056.0,11588885,65.0,75.0,54.0,94.0,82.0,57.0,Belgium,1583971200,314.0,5.0,5.749392985908253,2.709492759657206e-05,-10.516164021156001,7.9714309977693505,0.19544061526315862,4.833509988498815,0.9688880526778169,0.0014368724437536107,0.024962342290621425,0.1954406152631586,-11.432047018565438,0.968888052677817,0.0014368724437536016,0.02496234229062137
