,Entity,Code,pop_density,gdp,total_pop,urban_pop,rural_pop,urban_pct,rural_pct,life_expectancy,median_age,pdi,idv,mas,uai,ltowvs,ivr,Date,cases,days_gt_100,log_cases,slope,intercept,rvalue,pvalue,stderr
0,China,CHN,146.057646126616,13569.8915267324,1397028553.0,761027100,610192900,55.5,44.5,76.092,37.0,80.0,20.0,66.0,30.0,87.0,24.0,1582848000,78927.0,40.0,11.276278653618272,4.948030202526833e-07,-772.8109834400666,0.7198591574373703,2.723235969563316e-15,5.1448206454644e-08
1,France,FRA,121.61905701141599,37766.374111687204,64457201.0,53044946,13548420,79.655,20.344998999999998,82.2731707317073,41.200001,68.0,71.0,43.0,86.0,63.0,48.0,1586476800,86334.0,40.0,11.365978773991472,1.7467994376842158e-06,-2759.4083348406307,0.9612102987587587,3.03003076582711e-26,7.556463514855916e-08
2,Germany,DEU,234.153658068159,43937.9471317278,81707789.0,63062064,18624547,77.2,22.799999,80.64146341463409,45.900002,35.0,67.0,66.0,65.0,83.0,40.0,1586476800,113525.0,40.0,11.639778355966152,1.87842208375811e-06,-2967.888365304533,0.9605343079709294,4.400650009888241e-26,8.20070237085932e-08
3,Hong Kong,HKG,6944.095238095239,53591.835819824,7245701.0,7291300,0,100.0,0.0,84.2780487804878,43.200001,68.0,25.0,57.0,29.0,61.0,17.0,1586649600,1004.0,40.0,6.911747300251674,7.774400686886678e-07,-1226.4256025275918,0.9799420986724001,4.718679257606803e-31,2.4395563248064506e-08
4,Iran,IRN,48.724481814386394,16500.9005123884,79360487.0,58217266,21143221,73.358,26.642,75.73,29.5,58.0,41.0,43.0,59.0,14.0,40.0,1586217600,60500.0,40.0,11.010398644018933,1.1901908078841684e-06,-1876.7076825759198,0.9208913865153053,7.385381485746534e-21,7.34890347182536e-08
5,Italy,ITA,206.468287210172,34302.0374026544,59504212.0,42247229,18483353,69.565,30.434998999999998,82.54390243902441,45.900002,50.0,76.0,70.0,75.0,61.0,30.0,1585958400,119827.0,40.0,11.693804314896258,1.4588575246454099e-06,-2301.920838376891,0.9411976605678103,3.2519369309215926e-25,7.405923481036609e-08
6,Japan,JPN,348.751920122888,37882.980624441,127974958.0,116182717,10958283,91.381,8.619000400000001,83.79390243902441,46.299999,54.0,46.0,95.0,92.0,88.0,42.0,1585785600,2178.0,40.0,7.686162303492906,8.721739839415244e-07,-1375.2232903086972,0.9951908527036879,3.7777388334528637e-54,1.1904779138281848e-08
7,Singapore,SGP,7806.77291960508,81741.096935529,5535262.0,5535002,0,100.0,0.0,82.74390243902441,40.0,74.0,20.0,48.0,8.0,72.0,46.0,1586476800,1909.0,40.0,7.554334823725748,9.07481194786193e-07,-1432.1717871385322,0.9965706259403526,2.885114099244823e-49,1.1359336938679552e-08
8,South Korea,KOR,523.337576938859,34177.6544703221,50593662.0,41645542,9369405,81.634,18.365999,82.0243902439024,40.799999,60.0,18.0,39.0,85.0,100.0,29.0,1585699200,9786.0,40.0,9.188708071849069,5.222378065957866e-07,-818.8630525361807,0.759509783654737,1.7929320968006714e-11,6.143863394544652e-08
9,Spain,ESP,92.84621197279671,32291.1551993266,46397664.0,36971015,9473817,79.602,20.398001,82.8317073170732,43.200001,57.0,51.0,42.0,86.0,48.0,44.0,1586649600,161852.0,40.0,11.994437616398832,1.9591277378869457e-06,-3095.5887166022226,0.947275490090761,2.240633152012315e-22,1.0225434764614075e-07
10,United Kingdom,GBR,269.205394122267,38839.1669568199,65397080.0,53813373,11315488,82.626,17.374001,80.95609756097559,40.200001,35.0,89.0,66.0,35.0,51.0,69.0,1586908800,93873.0,40.0,11.449698083912718,1.9684155420616626e-06,-3111.4896716382564,0.9849519942677495,2.381486582974969e-31,5.5307483188343856e-08
11,United States,USA,35.0962171847362,53005.6361464627,319929162.0,262196447,58843392,81.671,18.329,78.69024390243901,37.599998,40.0,91.0,62.0,46.0,26.0,68.0,1586649600,529951.0,40.0,13.18053982842409,2.4780406703906988e-06,-3917.8049244221097,0.9769830860379052,8.249453685718216e-30,8.348755904563974e-08
