,Entity,code,popDensity,gdp,gapPop,urbanPop,ruralPop,urbanPct,ruralPct,lifeExpectancy,medianAge,globalName,regionCode,regionName,subRegionCode,subRegionName,interRegionName,country_x,m49,development,countryWom,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,pdi,idv,mas,uai,ltowvs,ivr,country_y,date,cases,daysGT100,logCases,casesPop,logCasesPop,logCasesMPop,slope,intercept,rvalue,pvalue,stderr,slopePop,interceptPop,rvaluePop,pvaluePop,stderrPop
10,Brazil,BRA,24.6420983615972,14702.5912680317,205962108.0,176653700,29308408,85.77,14.23,75.28399999999999,31.299999,World,19,Americas,419,Latin America and the Caribbean,South America,Brazil,76,Developing,Brazil,28912,1760.0,14026.0,13126,296.0,136.0,8.0,62985.0,296.0,212588235,69.0,38.0,49.0,76.0,44.0,59.0,Brazil,1585094400,2201.0,10.0,7.696667081526462,1.0353348105082109e-05,-11.478200602150261,4.912654885736052,0.2964757756731153,4.893365825631853,0.9952831248205272,1.9766216961528064e-10,0.009632760784405173,0.2964757756731153,-14.28150185804487,0.9952831248205272,1.9766216961528064e-10,0.009632760784405173
11,Bulgaria,BGR,66.12003500368459,17000.1780380679,7177396.0,5310996,1866995,73.99,26.01,74.6146341463415,43.5,World,150,Europe,151,Eastern Europe,,Bulgaria,100,Developed,Bulgaria,747,36.0,105.0,606,31.0,108.0,5.0,18502.0,2663.0,6916667,70.0,30.0,40.0,85.0,69.0,16.0,Bulgaria,1585526400,346.0,10.0,5.846438775057725,5.002409397474246e-05,-9.903005789107917,4.68213122712422,0.11318367162763096,4.788881869649801,0.9834952480356448,5.449542772121666e-08,0.006940812952153335,0.11318367162763096,-10.960562694515843,0.983495248035645,5.449542772121316e-08,0.006940812952153287
12,Burkina Faso,BFA,66.1938011695906,1596.3345805199601,18110624.0,4985855,13124769,27.53,72.470001,59.927,17.0,World,2,Africa,202,Sub-Saharan Africa,Western Africa,Burkina Faso,854,Developing,Burkina Faso,542,32.0,226.0,284,,26.0,2.0,,,20846154,70.0,15.0,50.0,55.0,27.0,18.0,Burkina Faso,1586044800,302.0,10.0,5.71042701737487,1.4487084763932954e-05,-11.142253011387643,3.258096538021482,0.09711019683456598,4.841558351860414,0.9766581723784481,2.567101331027056e-07,0.007119249380824271,0.09711019683456591,-12.011121676902098,0.9766581723784478,2.56710133102723e-07,0.0071192493808243185
13,Canada,CAN,3.9404490675217794,43149.4758370305,35949709.0,29117142,6715371,81.259,18.740999,82.1290243902439,40.5,World,19,Americas,21,Northern America,,Canada,124,Developed,Canada,28379,1010.0,8979.0,18390,557.0,752.0,27.0,467736.0,12393.0,37738032,39.0,80.0,52.0,48.0,36.0,68.0,Canada,1584835200,1302.0,10.0,7.171656822768514,3.450100418590985e-05,-10.27452212751259,6.62273632394984,0.25368123523864905,4.701363890419488,0.9966184512855951,4.429256736016846e-11,0.006971777683256271,0.2536812352386491,-12.744815059861615,0.9966184512855953,4.4292567360155226e-11,0.006971777683256041
14,Chile,CHL,23.8895985646885,22516.6078575125,17762681.0,15517478,2245203,87.36,12.64,79.315,33.700001,World,19,Americas,419,Latin America and the Caribbean,South America,Chile,152,Developing,Chile,8273,94.0,2937.0,5242,389.0,433.0,5.0,91873.0,4806.0,19106236,63.0,23.0,28.0,86.0,31.0,68.0,Chile,1585267200,1306.0,10.0,7.174724309836376,6.83546460956517e-05,-9.590801022040116,6.07073772800249,0.21428877888678036,5.121711184894417,0.9955975304548622,1.449800660588183e-10,0.006724794596957924,0.2142887788867803,-11.643814146982075,0.9955975304548622,1.449800660588183e-10,0.006724794596957922
15,China,CHN,146.057646126616,13569.8915267324,1397028553.0,761027100,610192900,55.5,44.5,76.092,37.0,World,142,Asia,30,Eastern Asia,,China,156,Developing,China,82341,3342.0,77892.0,1107,95.0,57.0,2.0,,,1444578947,80.0,20.0,66.0,30.0,87.0,24.0,China,1580256000,5994.0,10.0,8.69851424787661,4.149305936133098e-06,-12.392569482013833,4.04305126783455,0.34345420534863547,5.200932475447436,0.9958883536499306,1.0664160977687968e-10,0.010413888625041178,0.34345420534863536,-15.890151254443005,0.9958883536499306,1.0664160977687968e-10,0.010413888625041178
16,Colombia,COL,43.468857142857104,12985.383134526599,48228697.0,38469138,9759559,79.764,20.236,74.2,30.1,World,19,Americas,419,Latin America and the Caribbean,South America,Colombia,170,Developing,Colombia,3105,131.0,452.0,2522,106.0,61.0,3.0,45423.0,893.0,50901639,67.0,13.0,64.0,80.0,13.0,83.0,Colombia,1585440000,608.0,10.0,6.410174881966167,1.194460555582503e-05,-11.33523079942909,4.110873864173311,0.18331688968289422,4.724673526861732,0.9882916470028544,1.1704397236406136e-08,0.009433743164947453,0.1833168896828942,-13.020732154533523,0.9882916470028545,1.1704397236405633e-08,0.009433743164947406
17,Costa Rica,CRI,94.160830395613,14738.607621090401,4807852.0,3695411,1112441,76.862,23.138,79.634,31.4,World,19,Americas,419,Latin America and the Caribbean,Central America,Costa Rica,188,Developing,Costa Rica,626,4.0,67.0,555,11.0,123.0,0.8,9089.0,1784.0,5089431,35.0,15.0,21.0,86.0,,,Costa Rica,1585612800,330.0,10.0,5.799092654460526,6.484025424453146e-05,-9.643583939998202,4.812184355372417,0.11781993662362908,4.6999443138390395,0.9943365327180127,4.49531208008739e-10,0.004197633859949699,0.11781993662362908,-10.742732280619688,0.9943365327180127,4.49531208008739e-10,0.004197633859949699
18,Croatia,HRV,75.11801286633309,20983.9852751789,4236016.0,2360534,1843070,56.155,43.845001,77.2756097560976,42.599998,World,150,Europe,39,Southern Europe,,Croatia,191,Developed,Croatia,1741,33.0,473.0,1235,31.0,424.0,8.0,19256.0,4691.0,4106132,73.0,33.0,40.0,80.0,58.0,33.0,Croatia,1585526400,713.0,10.0,6.569481420414296,0.00017364273725247996,-8.658510603705968,6.049733455231958,0.1924475703843716,4.820277113819497,0.9802926382434294,1.2048769714384475e-07,0.012927494673941626,0.19244757038437157,-10.407714910300765,0.9802926382434294,1.2048769714384475e-07,0.012927494673941624
19,Cyprus,CYP,125.647727272727,30549.1009696787,1160985.0,777233,383752,66.946,33.054001,80.344,34.900002,World,142,Asia,145,Western Asia,,Cyprus,196,Developed,Cyprus,715,12.0,65.0,638,8.0,592.0,10.0,17923.0,14845.0,1207770,,,,,,70.0,Cyprus,1585872000,356.0,10.0,5.87493073085203,0.00029475810791789825,-8.129355511145997,6.3835066348840055,0.11493466561115125,4.673591580710715,0.9920415362606184,2.071046786846833e-09,0.004862546209098442,0.11493466561115125,-9.330694661287312,0.9920415362606181,2.0710467868472244e-09,0.004862546209098546
