IRQ,"LinregressResult(slope=9.658094636041646e-05, intercept=-152630.20221479714, rvalue=0.7272130298985403, pvalue=3.3761646727598986e-18, stderr=9.070973155797627e-06)"
ISL,"LinregressResult(slope=0.00014820238287219418, intercept=-234209.95538046857, rvalue=0.7509789269910467, pvalue=2.8237347782743274e-20, stderr=1.2840068284378251e-05)"
ISR,"LinregressResult(slope=0.000753335269809652, intercept=-1190564.396066097, rvalue=0.6805644243910077, pvalue=3.590067678779666e-15, stderr=8.110325443060099e-05)"
ITA,"LinregressResult(slope=0.013762886866365641, intercept=-21749382.004295394, rvalue=0.7783555339126434, pvalue=1.5063480140388699e-22, stderr=0.001093832068478345)"
JAM,"LinregressResult(slope=2.5846202458072655e-05, intercept=-40941.68356494061, rvalue=0.9847575688262388, pvalue=2.384706114960791e-24, stderr=8.334655272775429e-07)"
JOR,"LinregressResult(slope=0.00014816893989798183, intercept=-234701.5685254491, rvalue=0.9653530094261699, pvalue=4.684677036350326e-19, stderr=7.312458838672963e-06)"
JPN,"LinregressResult(slope=0.0003900867323626757, intercept=-616439.8892148731, rvalue=0.7198526654892566, pvalue=5.031082205249945e-18, stderr=3.7062765271823306e-05)"
KEN,"LinregressResult(slope=8.64508661887694e-05, intercept=-136990.9516129032, rvalue=0.9457092069386146, pvalue=1.0833273635182351e-15, stderr=5.517150013797761e-06)"
KGZ,"LinregressResult(slope=0.00018114118391896172, intercept=-287090.758974359, rvalue=0.950579171668245, pvalue=1.0875299214641751e-13, stderr=1.2077028419631265e-05)"
KOR,"LinregressResult(slope=0.0014940712567481438, intercept=-2360295.524400443, rvalue=0.9092236133858141, pvalue=5.42828540773443e-41, stderr=6.740573311400065e-05)"
KWT,"LinregressResult(slope=6.516250352842974e-05, intercept=-102975.48494977322, rvalue=0.6898148106221201, pvalue=1.072897042452407e-15, stderr=6.839042957736666e-06)"
LKA,"LinregressResult(slope=1.8700551667737314e-05, intercept=-29549.27776216506, rvalue=0.8041516169390286, pvalue=5.909037574339659e-23, stderr=1.4257686567960113e-06)"
LTU,"LinregressResult(slope=7.827211457475459e-05, intercept=-123690.24508379928, rvalue=0.7179086992384329, pvalue=1.850609223442266e-16, stderr=7.828324327580121e-06)"
LUX,"LinregressResult(slope=0.00028018466651456695, intercept=-442764.3419981148, rvalue=0.7457722953013167, pvalue=1.258059893691697e-18, stderr=2.5545107744531525e-05)"
LVA,"LinregressResult(slope=0.0002276168500325052, intercept=-360541.03621210175, rvalue=0.9723486374099611, pvalue=2.4711455036175367e-24, stderr=9.11131915018846e-06)"
MAR,"LinregressResult(slope=0.0005127662218846785, intercept=-812360.911792593, rvalue=0.9123313367691323, pvalue=2.396064921536536e-14, stderr=4.006024578361419e-05)"
MDA,"LinregressResult(slope=0.0005050996532989772, intercept=-800297.3622142378, rvalue=0.8872539210722225, pvalue=1.2558121002876798e-12, stderr=4.571282539992818e-05)"
MEX,"LinregressResult(slope=0.0002355180208656653, intercept=-372196.56891662785, rvalue=0.6465570327856343, pvalue=8.469663053239359e-13, stderr=2.851041650243213e-05)"
MKD,"LinregressResult(slope=5.240076418300282e-05, intercept=-82807.02416432164, rvalue=0.7134058708090802, pvalue=3.464305927341388e-16, stderr=5.308854037924838e-06)"
MLI,"LinregressResult(slope=6.493664717348928e-05, intercept=-102945.18947368421, rvalue=0.9513989836691622, pvalue=4.018192032417474e-10, stderr=5.097983555683752e-06)"
MLT,"LinregressResult(slope=0.0001240114846606263, intercept=-196446.9635193133, rvalue=0.9723422193887582, pvalue=2.0326121430172962e-22, stderr=5.185439754128213e-06)"
MNE,"LinregressResult(slope=0.00013729197756975534, intercept=-217568.47252747254, rvalue=0.9812967164318886, pvalue=2.0751675429604593e-19, stderr=5.386522767436708e-06)"
MOZ,"LinregressResult(slope=9.770322270322271e-06, intercept=-15484.103896103898, rvalue=0.9355413164735195, pvalue=1.7100170669152265e-10, stderr=8.24845972018371e-07)"
MWI,"LinregressResult(slope=1.1784511784511786e-05, intercept=-18686.818181818184, rvalue=0.9668114046189884, pvalue=1.2333822630034869e-06, stderr=1.0380645754032504e-06)"
MYS,"LinregressResult(slope=0.0003717824507619484, intercept=-587533.2801547238, rvalue=0.7491270019209193, pvalue=5.95458192646742e-20, stderr=3.255149811159214e-05)"
NAM,"LinregressResult(slope=7.40534750545874e-06, intercept=-11732.054060066741, rvalue=0.9650072219686393, pvalue=8.159936846164393e-18, stderr=3.8028320927728233e-07)"
NGA,"LinregressResult(slope=2.2029763598596408e-05, intercept=-34812.46911017303, rvalue=0.7015813181996092, pvalue=3.3834833222571114e-15, stderr=2.33279870328275e-06)"
NLD,"LinregressResult(slope=0.0017349037885594487, intercept=-2741858.988769092, rvalue=0.7025531170003988, pvalue=6.697475976810957e-17, stderr=0.00017315405411056704)"
NOR,"LinregressResult(slope=0.0005733853410740203, intercept=-906129.8664178587, rvalue=0.7659504191952229, pvalue=1.7625739109597626e-21, stderr=4.7420977518090076e-05)"
NPL,"LinregressResult(slope=7.749899082537792e-07, intercept=-1224.1370240723809, rvalue=0.7794594826431327, pvalue=5.607411118890223e-20, stderr=6.565525524416042e-08)"
NZL,"LinregressResult(slope=8.690733958803728e-05, intercept=-137337.06788703354, rvalue=0.7255483964307838, pvalue=6.209278977658989e-17, stderr=8.502029364888177e-06)"
PAK,"LinregressResult(slope=0.00032691138172118606, intercept=-516634.8066791506, rvalue=0.6816743065218854, pvalue=5.872705303233523e-15, stderr=3.54443380288325e-05)"
PAN,"LinregressResult(slope=0.0011264102863367568, intercept=-1784638.337815126, rvalue=0.9445964687065059, pvalue=1.5729513816496876e-17, stderr=6.813602440874357e-05)"
PER,"LinregressResult(slope=0.001742339470649429, intercept=-2760524.3316818476, rvalue=0.808410712409118, pvalue=1.436619177778363e-09, stderr=0.0002144375516211289)"
PHL,"LinregressResult(slope=0.00029886775589582106, intercept=-472324.25556734885, rvalue=0.6684053578112824, pvalue=2.22234531105026e-14, stderr=3.3425359208034946e-05)"
POL,"LinregressResult(slope=0.0019455412785624997, intercept=-3082014.2217840804, rvalue=0.9177134274004343, pvalue=2.0664232636217118e-16, stderr=0.0001384486874589669)"
PRI,"LinregressResult(slope=0.0005812284404502541, intercept=-921418.463235294, rvalue=0.9966905122853077, pvalue=9.087990517827274e-18, stderr=1.2239866105407702e-05)"
PRT,"LinregressResult(slope=0.0047476878111804375, intercept=-7520264.943062421, rvalue=0.922185593638717, pvalue=4.25288080328447e-18, stderr=0.00031481940081217954)"
QAT,"LinregressResult(slope=nan, intercept=nan, rvalue=nan, pvalue=nan, stderr=nan)"
ROU,"LinregressResult(slope=0.0003609177675153278, intercept=-570405.6212832916, rvalue=0.6535358752370086, pvalue=7.254035554103018e-14, stderr=4.159241036607794e-05)"
RUS,"LinregressResult(slope=0.000618253953952502, intercept=-977117.8449725785, rvalue=0.5683655199408413, pvalue=6.910711533361189e-10, stderr=9.04082055105331e-05)"
RWA,"LinregressResult(slope=5.45075804391711e-05, intercept=-86359.3530589544, rvalue=0.9931275428464361, pvalue=1.2312272578539692e-27, stderr=1.2139377807303975e-06)"
SAU,"LinregressResult(slope=0.0011767384808155433, intercept=-1864055.815158585, rvalue=0.9233810248304603, pvalue=5.79495430569089e-17, stderr=8.042646506950148e-05)"
SEN,"LinregressResult(slope=9.366719481944153e-05, intercept=-148360.56697564156, rvalue=0.9649654744281584, pvalue=9.517284423701931e-21, stderr=4.433475894455617e-06)"
SGP,"LinregressResult(slope=0.00014768751295873937, intercept=-233375.1535800677, rvalue=0.7410996278844049, pvalue=1.5849222566856476e-19, stderr=1.3183378414293889e-05)"
SLE,"LinregressResult(slope=9.157509157509158e-06, intercept=-14520.417582417582, rvalue=0.9781669751270669, pvalue=7.482547128262119e-09, stderr=5.866194404653602e-07)"
SLV,"LinregressResult(slope=6.168882557771446e-05, intercept=-97771.5641025641, rvalue=0.9593139579858371, pvalue=1.1028304662189971e-14, stderr=3.706080562533382e-06)"
SRB,"LinregressResult(slope=0.0011196656622972936, intercept=-1774012.3574821856, rvalue=0.8963540050219663, pvalue=3.3590274687972345e-13, stderr=9.640238875565316e-05)"
SUR,"LinregressResult(slope=3.4129091002359698e-06, intercept=-5403.628254847645, rvalue=0.8559873246373074, pvalue=4.874973305039645e-08, stderr=4.298147665105917e-07)"
SVK,"LinregressResult(slope=0.0002451601234382649, intercept=-388338.4301809406, rvalue=0.9722767581279492, pvalue=1.12213666564066e-23, stderr=9.966251451947249e-06)"
SVN,"LinregressResult(slope=0.00040003855316762674, intercept=-633551.1828035698, rvalue=0.9922895809240142, pvalue=3.690255271614808e-35, stderr=8.214436526811454e-06)"
SWE,"LinregressResult(slope=0.0006971294232497063, intercept=-1101731.2799329604, rvalue=0.7130507973539197, pvalue=1.424165470374828e-17, stderr=6.754014096054113e-05)"
THA,"LinregressResult(slope=0.00022022483256526666, intercept=-347997.070436479, rvalue=0.7581044688567403, pvalue=1.5958962947952032e-19, stderr=1.9334719537097786e-05)"
TTO,"LinregressResult(slope=4.9586506869773e-05, intercept=-78551.00806451612, rvalue=0.9698282281625443, pvalue=6.062476369435286e-20, stderr=2.275740053005553e-06)"
TUR,"LinregressResult(slope=0.01987083064875849, intercept=-31488742.05476533, rvalue=0.9082264369079762, pvalue=1.7155924321087015e-12, stderr=0.001700186778943284)"
TZA,"LinregressResult(slope=1.2888589876137767e-05, intercept=-20419.50629447181, rvalue=0.9811928771387597, pvalue=4.208858008128436e-20, stderr=4.972661574227537e-07)"
UGA,"LinregressResult(slope=3.094806763285024e-05, intercept=-49041.82608695651, rvalue=0.9426211995184758, pvalue=1.7945289439042193e-11, stderr=2.391974147619538e-06)"
UKR,"LinregressResult(slope=0.0008358424739467585, intercept=-1324461.3950723105, rvalue=0.8678208658713432, pvalue=2.6019907314151284e-10, stderr=8.886779652271034e-05)"
URY,"LinregressResult(slope=0.00021012029827380217, intercept=-332870.269558769, rvalue=0.9955703295567747, pvalue=2.6694491075495686e-30, stderr=3.750043240258802e-06)"
USA,"LinregressResult(slope=0.03127651502061879, intercept=-49432190.28726242, rvalue=0.6340837477172012, pvalue=3.838432716869136e-13, stderr=0.0037582107165326567)"
VEN,"LinregressResult(slope=7.236178057924442e-05, intercept=-114621.82076381164, rvalue=0.9699975359491966, pvalue=9.761691822657786e-19, stderr=3.4274482136354207e-06)"
VNM,"LinregressResult(slope=2.702666321188273e-05, intercept=-42701.974331383935, rvalue=0.8263876400535937, pvalue=1.9586670035120107e-26, stderr=1.8508781115591176e-06)"
ZAF,"LinregressResult(slope=0.0007760588444624941, intercept=-1229341.5459277858, rvalue=0.9645994297675918, pvalue=7.6130534194492955e-22, stderr=3.586375552873503e-05)"
ZMB,"LinregressResult(slope=2.2867204811649262e-05, intercept=-36234.251282051286, rvalue=0.9282779579237881, pvalue=8.450009643096898e-12, stderr=1.8699955115354364e-06)"
ZWE,"LinregressResult(slope=6.189613526570048e-06, intercept=-9807.965942028986, rvalue=0.9759036565938076, pvalue=4.902006718053834e-16, stderr=2.9505549125751077e-07)"
