,Entity,code,popDensity,gdp,gapPop,urbanPop,ruralPop,urbanPct,ruralPct,lifeExpectancy,medianAge,globalName,regionCode,regionName,subRegionCode,subRegionName,interRegionName,country_x,m49,development,countryWom,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,pdi,idv,mas,uai,ltowvs,ivr,country_y,date,cases,daysGT100,logCases,casesPop,logCasesPop,logCasesMPop,slope,intercept,rvalue,pvalue,stderr,slopePop,interceptPop,rvaluePop,pvaluePop,stderrPop
0,Australia,AUS,3.10464105801648,43923.2582693466,23799556.0,20440360,3410424,85.70100000000001,14.299000000000001,82.4,37.400002,World,9,Oceania,53,Australia and New Zealand,,Australia,36,Developed,Australia,6462,63.0,3702.0,2697,76.0,253.0,2.0,377024.0,14785.0,25541502,38.0,90.0,61.0,51.0,21.0,71.0,Australia,1586822400,6366.0,35.0,8.758726607842037,0.0002492414110963404,-8.297088608707664,5.53338948872752,0.12654333576803,5.216820726673935,0.938968880345299,2.5224828865895478e-17,0.007950779499568503,0.12654333576803004,-11.838994489875766,0.9389688803452992,2.5224828865894042e-17,0.007950779499568487
1,Austria,AUT,104.730790203943,44304.967756787,8678657.0,4988134,3654565,57.715,42.285,81.19024390243901,43.200001,World,150,Europe,155,Western Europe,,Austria,40,Developed,Austria,14350,393.0,8098.0,5859,232.0,1593.0,44.0,156801.0,17410.0,9008161,11.0,55.0,79.0,70.0,60.0,63.0,Austria,1586736000,13937.0,35.0,9.54230245311951,0.001547152631930091,-6.471339049084155,7.373374309910049,0.13428137480361801,5.760512826228867,0.931449475000274,1.7148481965089037e-16,0.00899630325909293,0.134281374803618,-10.2531286759748,0.9314494750002736,1.714848196509026e-16,0.00899630325909295
2,Belgium,BEL,372.33143989432,41708.2123401731,11287940.0,11034732,239464,97.876,2.1240001,80.9926829268293,41.299999,World,150,Europe,155,Western Europe,,Belgium,56,Developed,Belgium,33573,4440.0,7107.0,22026,1204.0,2897.0,383.0,128132.0,11056.0,11588885,65.0,75.0,54.0,94.0,82.0,57.0,Belgium,1586563200,26667.0,35.0,10.191182124909785,0.0023010841854069655,-6.074374882154471,7.9714309977693505,0.15948265912525794,5.2423462391141955,0.9850716428992499,1.4440147604895862e-27,0.004779696192066404,0.15948265912525791,-11.02321076795006,0.9850716428992494,1.4440147604903154e-27,0.004779696192066477
3,China,CHN,146.057646126616,13569.8915267324,1397028553.0,761027100,610192900,55.5,44.5,76.092,37.0,World,142,Asia,30,Eastern Asia,,China,156,Developing,China,82341,3342.0,77892.0,1107,95.0,57.0,2.0,,,1444578947,80.0,20.0,66.0,30.0,87.0,24.0,China,1582416000,77016.0,35.0,11.251768471457803,5.331380480100545e-05,-9.83931525843264,4.04305126783455,0.16867054743035392,6.4741491543444125,0.9399977260537945,1.9044820018040508e-17,0.010499230204523155,0.1686705474303539,-14.616934575546027,0.9399977260537942,1.9044820018042267e-17,0.010499230204523181
4,Denmark,DNK,135.353250773994,45458.697148830994,5688695.0,4974525,708958,87.52600000000001,12.474,80.7024390243902,41.599998,World,150,Europe,154,Northern Europe,,Denmark,208,Developed,Denmark,6681,309.0,2748.0,3624,89.0,1153.0,53.0,77712.0,13417.0,5794449,18.0,74.0,16.0,23.0,35.0,70.0,Denmark,1586822400,6318.0,35.0,8.75115798136203,0.001090353888695888,-6.821252966906169,7.050122520269059,0.0849466166939367,6.051364892419081,0.9555699092216249,1.2994622415072797e-19,0.004493858935638387,0.0849466166939367,-9.52104605584912,0.9555699092216249,1.2994622415072797e-19,0.004493858935638387
5,France,FRA,121.61905701141599,37766.374111687204,64457201.0,53044946,13548420,79.655,20.344998999999998,82.2731707317073,41.200001,World,150,Europe,155,Western Europe,,France,250,Developed,France,147863,17167.0,30955.0,99741,6457.0,2265.0,263.0,333807.0,5114.0,65281678,68.0,71.0,43.0,86.0,63.0,48.0,France,1586044800,68605.0,35.0,11.136120697355276,0.0010509074230598055,-6.858101275591354,7.725330037917135,0.18604557406931818,5.350762189171345,0.9801519055990248,1.763261131744235e-25,0.006453497678489305,0.1860455740693182,-12.643459783775286,0.9801519055990253,1.7632611317433948e-25,0.006453497678489213
6,Germany,DEU,234.153658068159,43937.9471317278,81707789.0,63062064,18624547,77.2,22.799999,80.64146341463409,45.900002,World,150,Europe,155,Western Europe,,Germany,276,Developed,Germany,134753,3804.0,72600.0,58349,4288.0,1608.0,45.0,1728357.0,20629.0,83801617,35.0,67.0,66.0,65.0,83.0,40.0,Germany,1586044800,91714.0,35.0,11.426430318347135,0.0010944180229839717,-6.817532542861733,7.382746449738912,0.20247137223867398,5.165430076606382,0.9842101575098887,3.723432089618636e-27,0.006244807536526311,0.20247137223867395,-13.078532784602485,0.9842101575098889,3.723432089617709e-27,0.006244807536526264
7,Hong Kong,HKG,6944.095238095239,53591.835819824,7245701.0,7291300,0,100.0,0.0,84.2780487804878,43.200001,World,142,Asia,30,Eastern Asia,,Hong Kong,344,Developed,Hong Kong,1017,4.0,459.0,554,10.0,136.0,0.5,116273.0,15509.0,7477941,68.0,25.0,57.0,29.0,61.0,17.0,Hong Kong,1586217600,935.0,35.0,6.840546529288687,0.0001250344178965841,-8.986921515389275,4.912654885736052,0.0751895847809461,4.308397664793268,0.9851617241118922,1.3037173975082668e-27,0.0022464686651124635,0.07518958478094612,-11.519070379884694,0.9851617241118926,1.3037173975076083e-27,0.0022464686651124293
8,Iran,IRN,48.724481814386394,16500.9005123884,79360487.0,58217266,21143221,73.358,26.642,75.73,29.5,World,142,Asia,34,Southern Asia,,Iran,364,Developing,Iran,76389,4777.0,49933.0,21679,3643.0,909.0,57.0,299204.0,3562.0,84036304,58.0,41.0,43.0,59.0,14.0,40.0,Iran,1585785600,47593.0,35.0,10.770440970581772,0.0005663385671982908,-7.476318483334603,6.812345094177479,0.13453587577809845,6.651145626867464,0.9262158261221375,5.750119396899763e-16,0.009391188053095483,0.13453587577809845,-11.59561382704891,0.9262158261221376,5.75011939689964e-16,0.009391188053095474
9,Italy,ITA,206.468287210172,34302.0374026544,59504212.0,42247229,18483353,69.565,30.434998999999998,82.54390243902441,45.900002,World,150,Europe,39,Southern Europe,,Italy,380,Developed,Italy,165155,21645.0,38092.0,105418,3079.0,2732.0,358.0,1117404.0,18481.0,60452050,50.0,76.0,70.0,75.0,61.0,30.0,Italy,1585526400,97689.0,35.0,11.489544242132316,0.0016159749752076233,-6.427816804641984,7.912789220690681,0.17889761042978614,5.984639392119131,0.9765040389570996,3.0192122031670497e-24,0.006770745612733782,0.17889761042978614,-11.93272165465517,0.9765040389570996,3.0192122031670497e-24,0.006770745612733784
