code,slope,intercept,rvalue,pvalue,stderr
SLV,7.62E-07,-1204.369279,0.941420281,0.00154545,1.22E-07
SRB,1.66E-06,-2619.364762,0.988516706,4.85E-22,5.06E-08
SVK,8.49E-07,-1340.083725,0.989029836,3.98E-23,2.49E-08
SVN,7.26E-07,-1145.170372,0.967468776,4.60E-20,3.41E-08
SWE,1.22E-06,-1922.729254,0.974640853,2.59E-26,4.54E-08
THA,1.12E-06,-1773.328316,0.913663875,7.33E-13,9.28E-08
TTO,1.28E-07,-197.9424419,0.978973743,3.12E-08,8.42E-09
TUR,2.31E-06,-3651.170409,0.966594329,6.79E-17,1.20E-07
UKR,1.81E-06,-2858.320144,0.977220686,2.99E-14,9.00E-08
URY,6.56E-07,-1034.610494,0.955220584,3.41E-14,4.15E-08
USA,2.48E-06,-3917.804924,0.976983086,8.25E-30,8.35E-08
VEN,3.34E-07,-523.9569903,0.984391095,8.46E-16,1.37E-08
VNM,3.71E-07,-583.3441284,0.866510445,4.40E-08,4.56E-08
ZAF,1.13E-06,-1781.668323,0.901773323,5.75E-11,1.06E-07
