,Entity,code,date,popDensity,gdp,gapPop,urbanPop,ruralPop,urbanPct,ruralPct,lifeExpectancy,medianAge,globalCode,globalName,regionCode,regionName,subRegionCode,subRegionName,interRegionCode,interRegionName,country,m49,ldc,lldc,sids,development,countryWom,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,pdi,idv,mas,uai,ltowvs,ivr
215,Canada,CAN,2015,3.9404490675217794,43149.4758370305,35949709.0,29117142,6715371,81.259,18.740999,82.1290243902439,40.5,1,World,19,Americas,21,Northern America,,,Canada,124,,,,Developed,Canada,28379,1010.0,8979.0,18390,557.0,752.0,27.0,467736.0,12393.0,37738032,39.0,80.0,52.0,48.0,36.0,68.0
227,Chile,CHL,2015,23.8895985646885,22516.6078575125,17762681.0,15517478,2245203,87.36,12.64,79.315,33.700001,1,World,19,Americas,419,Latin America and the Caribbean,5.0,South America,Chile,152,,,,Developing,Chile,8273,94.0,2937.0,5242,389.0,433.0,5.0,91873.0,4806.0,19106236,63.0,23.0,28.0,86.0,31.0,68.0
239,China,CHN,2015,146.057646126616,13569.8915267324,1397028553.0,761027100,610192900,55.5,44.5,76.092,37.0,1,World,142,Asia,30,Eastern Asia,,,China,156,,,,Developing,China,82341,3342.0,77892.0,1107,95.0,57.0,2.0,,,1444578947,80.0,20.0,66.0,30.0,87.0,24.0
251,Colombia,COL,2015,43.468857142857104,12985.383134526599,48228697.0,38469138,9759559,79.764,20.236,74.2,30.1,1,World,19,Americas,419,Latin America and the Caribbean,5.0,South America,Colombia,170,,,,Developing,Colombia,3105,131.0,452.0,2522,106.0,61.0,3.0,45423.0,893.0,50901639,67.0,13.0,64.0,80.0,13.0,83.0
263,Costa Rica,CRI,2015,94.160830395613,14738.607621090401,4807852.0,3695411,1112441,76.862,23.138,79.634,31.4,1,World,19,Americas,419,Latin America and the Caribbean,13.0,Central America,Costa Rica,188,,,,Developing,Costa Rica,626,4.0,67.0,555,11.0,123.0,0.8,9089.0,1784.0,5089431,35.0,15.0,21.0,86.0,,
275,Croatia,HRV,2015,75.11801286633309,20983.9852751789,4236016.0,2360534,1843070,56.155,43.845001,77.2756097560976,42.599998,1,World,150,Europe,39,Southern Europe,,,Croatia,191,,,,Developed,Croatia,1741,33.0,473.0,1235,31.0,424.0,8.0,19256.0,4691.0,4106132,73.0,33.0,40.0,80.0,58.0,33.0
287,Cyprus,CYP,2015,125.647727272727,30549.1009696787,1160985.0,777233,383752,66.946,33.054001,80.344,34.900002,1,World,142,Asia,145,Western Asia,,,Cyprus,196,,,,Developed,Cyprus,715,12.0,65.0,638,8.0,592.0,10.0,17923.0,14845.0,1207770,,,,,,70.0
299,Czech Republic,CZE,2015,136.57160062160102,30605.420521147098,10603762.0,7748928,2797131,73.477,26.523001,78.57804878048779,41.400002,1,World,150,Europe,151,Eastern Europe,,,Czech Republic,203,,,,Developed,Czech Republic,6301,166.0,819.0,5316,84.0,588.0,16.0,137672.0,12856.0,10715986,57.0,58.0,57.0,74.0,70.0,29.0
311,Denmark,DNK,2015,135.353250773994,45458.697148830994,5688695.0,4974525,708958,87.52600000000001,12.474,80.7024390243902,41.599998,1,World,150,Europe,154,Northern Europe,,,Denmark,208,,,,Developed,Denmark,6681,309.0,2748.0,3624,89.0,1153.0,53.0,77712.0,13417.0,5794449,18.0,74.0,16.0,23.0,35.0,70.0
323,Dominican Republic,DOM,2015,217.934050921134,13395.916802055,10528394.0,8271738,2256656,78.566,21.434,73.673,26.1,1,World,19,Americas,419,Latin America and the Caribbean,29.0,Caribbean,Dominican Republic,214,,,1.0,Developing,Dominican Republic,3614,189.0,208.0,3217,143.0,333.0,17.0,9275.0,855.0,10852853,65.0,30.0,65.0,45.0,13.0,54.0
335,Ecuador,ECU,2015,65.0038975680464,10749.1288738874,16144368.0,10235206,5909162,63.398,36.602001,76.102,26.6,1,World,19,Americas,419,Latin America and the Caribbean,5.0,South America,Ecuador,218,,,,Developing,Ecuador,7858,388.0,780.0,6690,135.0,445.0,22.0,26093.0,1479.0,17658427,78.0,8.0,63.0,67.0,,
347,Egypt,EGY,2015,94.2068129991461,10095.610167712099,93778172.0,40122991,53655181,42.785,57.215,71.304,24.700001,1,World,2,Africa,15,Northern Africa,,,Egypt,818,,,,Developing,Egypt,2505,183.0,589.0,1733,,24.0,2.0,25000.0,244.0,104375000,70.0,25.0,45.0,80.0,7.0,4.0
359,El Salvador,SLV,2015,304.656274131274,7019.59178870445,6312478.0,4399797,1912681,69.7,30.299999,73.267,25.799999,1,World,19,Americas,419,Latin America and the Caribbean,13.0,Central America,El Salvador,222,,,,Developing,El Salvador,159,6.0,30.0,123,2.0,25.0,0.9,7785.0,1200.0,6360000,66.0,19.0,40.0,94.0,20.0,89.0
371,Estonia,EST,2015,31.0310686482661,27549.581369737796,1315321.0,899949,415458,68.416,31.584,77.590243902439,41.599998,1,World,150,Europe,154,Northern Europe,,,Estonia,233,,,,Developed,Estonia,1400,35.0,117.0,1248,10.0,1055.0,26.0,33967.0,25606.0,1327014,40.0,60.0,30.0,60.0,82.0,16.0
383,Ethiopia,ETH,2015,99.87303299999999,1533.1076319997303,99873033.0,19403333,80469700,19.428,80.571999,65.03699999999999,18.6,1,World,2,Africa,202,Sub-Saharan Africa,14.0,Eastern Africa,Ethiopia,231,1.0,1.0,,Developing,Ethiopia,85,3.0,15.0,67,,0.7,0.03,4988.0,43.0,121428571,70.0,20.0,65.0,55.0,,46.0
395,Fiji,FJI,2015,48.831362889983595,8477.64472981588,892149.0,488237,403912,54.726000000000006,45.273998,70.117,27.6,1,World,9,Oceania,54,Melanesia,,,Fiji,242,,,1.0,Developing,Fiji,16,,,16,,18.0,,,,888889,78.0,14.0,46.0,48.0,,
407,Finland,FIN,2015,18.030110888091897,38941.7636030551,5481966.0,4669930,809601,85.225,14.775,81.4804878048781,42.5,1,World,150,Europe,154,Northern Europe,,,Finland,246,,,,Developed,Finland,3237,72.0,300.0,2865,75.0,584.0,13.0,48828.0,8813.0,5542808,33.0,63.0,26.0,59.0,38.0,57.0
419,France,FRA,2015,121.61905701141599,37766.374111687204,64457201.0,53044946,13548420,79.655,20.344998999999998,82.2731707317073,41.200001,1,World,150,Europe,155,Western Europe,,,France,250,,,,Developed,France,147863,17167.0,30955.0,99741,6457.0,2265.0,263.0,333807.0,5114.0,65281678,68.0,71.0,43.0,86.0,63.0,48.0
431,Georgia,GEO,2015,65.0320165156234,9025.133142656121,3951524.0,2135400,1581700,57.448,42.551998,73.096,38.0,1,World,142,Asia,145,Western Asia,,,Georgia,268,,,,Developing,Georgia,306,3.0,71.0,232,6.0,77.0,0.8,5027.0,1260.0,3974026,,,,,38.0,32.0
443,Germany,DEU,2015,234.153658068159,43937.9471317278,81707789.0,63062064,18624547,77.2,22.799999,80.64146341463409,45.900002,1,World,150,Europe,155,Western Europe,,,Germany,276,,,,Developed,Germany,134753,3804.0,72600.0,58349,4288.0,1608.0,45.0,1728357.0,20629.0,83801617,35.0,67.0,66.0,65.0,83.0,40.0
455,Ghana,GHA,2015,121.221855497934,3926.70904479081,27582821.0,14918445,12664376,54.086000000000006,45.914001,62.448,20.4,1,World,2,Africa,202,Sub-Saharan Africa,11.0,Western Africa,Ghana,288,,,,Developing,Ghana,641,8.0,83.0,550,2.0,21.0,0.3,50719.0,1632.0,30523810,80.0,15.0,40.0,65.0,4.0,72.0
467,Greece,GRC,2015,83.947889837083,24170.3018369872,11217800.0,8445266,2375617,78.046,21.954,81.0365853658537,43.299999,1,World,150,Europe,39,Southern Europe,,,Greece,300,,,,Developed,Greece,2192,102.0,269.0,1821,72.0,210.0,10.0,50771.0,4871.0,10438095,60.0,35.0,57.0,112.0,45.0,50.0
479,Guatemala,GTM,2015,151.665070921986,7292.71910386634,16252429.0,8121501,8130928,49.971000000000004,50.028999,73.15,21.299999,1,World,19,Americas,419,Latin America and the Caribbean,13.0,Central America,Guatemala,320,,,,Developing,Guatemala,196,5.0,19.0,172,3.0,11.0,0.3,7000.0,391.0,17818182,95.0,6.0,37.0,101.0,,
