,popDensity,gdp,gapPop,urbanPop,ruralPop,urbanPct,ruralPct,lifeExpectancy,medianAge,regionCode,subRegionCode,m49,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,pdi,idv,mas,uai,ltowvs,ivr,date,cases,daysGT100,logCases,casesPop,logCasesPop,logCasesMPop,slope,intercept,rvalue,pvalue,stderr,slopePop,interceptPop,rvaluePop,pvaluePop,stderrPop
popDensity,1.0,0.30337735608799127,-0.023842376574409258,-0.03672040268482092,-0.011039709549447954,0.23650226452883266,-0.23650226267063637,0.20400799221472826,0.14361613808557466,0.11573861013451961,-0.1727129534172249,0.06505560918593427,-0.04420468402945444,-0.042966446214900304,-0.047730464414208966,-0.038010995893272,-0.04977543720941314,-0.02685410025155437,-0.04031654000470305,-0.03590721447051415,0.061089223042278096,-0.023875970867737427,0.056918834524412106,-0.1202772787542572,0.03663654466346794,-0.349768400253791,0.15319513700047077,-0.07777535777140415,-0.20512252338195575,-0.10447744949245831,,-0.26098202422776473,-0.03733271991515485,-0.06156781574259783,0.028899777703075082,-0.25509340541626696,-0.15360592276769486,-0.05141255170552233,-0.016581347507867147,-0.17451415575155937,-0.25509340541626696,0.06164722950079374,-0.05141255170552109,-0.016581347507867158,-0.17451415575155946
gdp,0.30337735608799127,1.0,-0.1526697411555138,-0.1124993725163434,-0.17670442235698774,0.6418756977140875,-0.6418756940619702,0.596823845963949,0.46564375952158216,0.31202827661356736,-0.1345006547984843,0.11296238181425487,0.17737955183212153,0.16132774615755352,0.09875264712614164,0.17677939592964653,0.16502140180475344,0.5577774239496183,0.26361933043648783,0.2413475682742758,0.5275357535154673,-0.15582449590656922,-0.27775119445479335,0.3867139238279501,-0.0045547440271133085,-0.10856152791644604,0.20566031384042976,0.36305005301409915,-0.40934985813033753,0.0698484887160173,,0.15252410250574108,0.38208474372864215,0.40225914160990833,0.6339719355539561,0.11487458658666679,0.1780398595141732,-0.0797719449060506,0.09811989565231412,0.08314107401063296,0.11487458658666687,0.31424639701407353,-0.07977194490604854,0.09811989565231395,0.0831410740106303
gapPop,-0.023842376574409258,-0.1526697411555138,1.0,0.9558607270410615,0.964705637646624,-0.20212794657568747,0.2021279415690278,-0.1662472516024692,-0.1018981262178432,0.029598498561905724,-0.16322978545327316,-0.058642214485746295,0.20545257602754086,0.13320486289055,0.4137285658089884,0.13385117897774038,0.15800421119956115,-0.11307103521981515,-0.05223544146937647,0.22954430343149795,-0.14322709342939127,0.9998383569071931,0.1407529176824596,-0.05971387179633771,0.14567922545622378,-0.24209476432040092,0.11896581349023198,-0.11623149021040599,-0.4327211267426315,0.34137202599665145,,0.25781529079223736,-0.11647367381372685,-0.47981317379312494,-0.25360917371033415,0.24576867842019248,0.08909355062646238,0.12406324022745494,-0.0336094060920901,0.02792882772307846,0.24576867842019226,-0.5715614728657649,0.12406324022745503,-0.03360940609209009,0.02792882772307753
urbanPop,-0.03672040268482092,-0.1124993725163434,0.9558607270410615,1.0,0.8448738411801733,-0.10517195368463979,0.1051719491372583,-0.10491712816428897,-0.051276762103552136,-0.005348346289473398,-0.1366335759888098,-0.058869312567648616,0.33771392005091544,0.23760784345133298,0.535602564072675,0.2548197601240367,0.2511786720105926,-0.08885576613877984,-0.022061314831769305,0.4552648992967533,-0.16676669401681282,0.9531206891324484,0.12508741765633555,-0.03404542422420677,0.18153974842589665,-0.21396340488300497,0.13410222227786583,-0.06214430956797523,-0.5441133730033999,0.4347413197073311,,0.33763947156173246,-0.1335655878897079,-0.4785709109364237,-0.19338584840278988,0.3258185735531416,0.10411142232247894,0.157090828053584,-0.03810175874661757,0.03440868270111533,0.3258185735531414,-0.6112878416746589,0.15709082805358443,-0.03810175874661757,0.03440868270111282
ruralPop,-0.011039709549447954,-0.17670442235698774,0.964705637646624,0.8448738411801733,1.0,-0.2721409055027504,0.27214090041069816,-0.20935654286492034,-0.14046737276963212,0.0564792371258805,-0.1744139743042479,-0.052441469804587026,0.07941877376345637,0.03668674922820661,0.27455575812901534,0.024153043398020036,0.0393180319722622,-0.1252645781115376,-0.07301083274540447,0.07219423034000051,-0.11725062377388944,0.9669170594166496,0.14381692479268102,-0.0750569473745367,0.10414736484972952,-0.24796185570019647,0.09479835109582849,-0.1533663995673424,-0.2997149259062328,0.2319388392669092,,0.16900457829738244,-0.09427460226373507,-0.45009276624520106,-0.2887362793907212,0.15855142636999706,0.06732781477033459,0.08703228973372357,-0.027578890153261298,0.020270414478870763,0.1585514263699969,-0.4992165869481479,0.0870322897337231,-0.02757889015326128,0.020270414478871214
urbanPct,0.23650226452883266,0.6418756977140875,-0.20212794657568747,-0.10517195368463979,-0.2721409055027504,1.0,-0.9999999999999988,0.6187223589007721,0.4105182367202848,0.09899208142666316,0.16534445471688736,-0.0958498633432304,0.13078999735017607,0.13854333725613718,0.09397715400840495,0.12364574397017093,0.14321869949039365,0.35255300206147894,0.2259314574282386,0.16304921078596565,0.36080254948302704,-0.20721870208840343,-0.2802313309613266,0.3260130803587482,-0.043103130945356075,0.16687102742300008,0.05538923391058419,0.4214790319493493,-0.38540368654765345,0.13166430668753537,,0.23213370779219342,0.20971610825328246,0.35205423872239544,0.5561738022249079,0.21554268241647484,0.14912516210273757,0.0013590393704940422,0.10274578633647466,0.13686363296905962,0.2155426824164749,0.22285511287091667,0.0013590393704973596,0.10274578633647456,0.13686363296905546
ruralPct,-0.23650226267063637,-0.6418756940619702,0.2021279415690278,0.1051719491372583,0.27214090041069816,-0.9999999999999988,1.0,-0.6187223529811909,-0.4105182403170964,-0.09899208547717953,-0.165344455809185,0.09584986245737605,-0.13078999945157435,-0.13854333968267907,-0.09397715873484164,-0.12364574509547141,-0.14321870233692485,-0.3525529992952089,-0.225931457122492,-0.1630492136685253,-0.36080254674145346,0.20721869694212264,0.280231332508168,-0.32601308081865993,0.04310312946853386,-0.16687103171362652,-0.05538924105739429,-0.4214790263585332,0.3854036886078905,-0.1316643111425955,,-0.23213371394490034,-0.20971610537854096,-0.3520542375626747,-0.5561738034896141,-0.2155426879999151,-0.1491251663221541,-0.0013590453517201946,-0.10274578590652293,-0.13686363412858876,-0.2155426879999151,-0.22285510907926329,-0.001359045351723531,-0.10274578590652282,-0.13686363412858454
lifeExpectancy,0.20400799221472826,0.596823845963949,-0.1662472516024692,-0.10491712816428897,-0.20935654286492034,0.6187223589007721,-0.6187223529811909,1.0,0.7411172731788345,0.38374395304777215,-0.16341256439602847,-0.18044382131622183,0.17858445038083623,0.24031224881162874,0.21246316802356124,0.14454636060418533,0.20140183319926802,0.5072334511804322,0.3766699958792519,0.15875915446265584,0.391692927630016,-0.1748768789400614,-0.4443378058861419,0.44478418226600874,-0.08290782728610517,0.06645215833064948,0.30289616091552535,0.1841359451655764,-0.5142733273342809,0.20462372888043762,,0.31003802073554626,0.2625501554105111,0.5220043180671315,0.7288731709215698,0.30762993497945845,0.10637940233535757,0.02493999489177644,0.08580346472750043,0.17391927076775784,0.3076299349794584,0.3325202148186014,0.02493999489177689,0.08580346472750047,0.1739192707677575
medianAge,0.14361613808557466,0.46564375952158216,-0.1018981262178432,-0.051276762103552136,-0.14046737276963212,0.4105182367202848,-0.4105182403170964,0.7411172731788345,1.0,0.5932423172839181,-0.3241861275865154,-0.11608375408885359,0.17560640727946003,0.2342701559616878,0.22593536028773753,0.13782079973769829,0.1828998192606462,0.3951100285157336,0.3574550937299924,0.21311003858174227,0.2911579734113578,-0.11025874969314677,-0.39813807201771223,0.525593725008031,-0.1079799042098261,0.14607077764103849,0.6144304290731522,-0.06949957204262151,-0.4423502714943721,0.14337992302439584,,0.2653790760818231,0.1771823077145156,0.4793216346963714,0.6669488999465389,0.2764766076611607,0.035187176618569675,0.0915447427165897,0.0959916359138585,0.09051051588317931,0.27647660766116056,0.3068458311946561,0.09154474271658966,0.09599163591385852,0.09051051588317974
regionCode,0.11573861013451961,0.31202827661356736,0.029598498561905724,-0.005348346289473398,0.0564792371258805,0.09899208142666316,-0.09899208547717953,0.38374395304777215,0.5932423172839181,1.0,-0.5475252661905571,-0.02691255838853695,-0.03354661575375443,0.04415228830764865,0.1025797572596741,-0.06887660067978042,-0.010684242772523812,0.30521764768284015,0.2284626899007025,-0.0012740806398783536,0.26786988385690375,0.026371877162509084,-0.03628226642471466,0.23129842303895176,-0.1288370281496361,0.029601660055094032,0.6699222208732886,-0.3938146376648039,-0.3210517307258513,0.16174475660663554,,0.1780767920053826,0.19098013392244292,0.34343870833719137,0.43346510424102286,0.15118261883211723,0.10154698743074482,-0.01076649936455594,0.07451702903482205,0.13426650713242777,0.15118261883211703,0.23722124846001086,-0.010766499364556203,0.07451702903482212,0.13426650713243102
subRegionCode,-0.1727129534172249,-0.1345006547984843,-0.16322978545327316,-0.1366335759888098,-0.1744139743042479,0.16534445471688736,-0.165344455809185,-0.16341256439602847,-0.3241861275865154,-0.5475252661905571,1.0,-0.06292867150638948,-0.16259278813494787,-0.16851874225282695,-0.17913425876131964,-0.13842172556540533,-0.15833445359302953,-0.10987420804095963,-0.11758677511125164,-0.1720486216688399,-0.12163916123132017,-0.16374415115376606,0.02235263530268961,-0.2673197550788407,0.01272220546462343,0.18668972325214256,-0.3366159144726913,0.4455398193462183,0.3051663734827588,-0.1328627014885481,,-0.09617481706875641,-0.02397446968022754,0.025684198974489772,-0.10312483620765582,-0.0919870561286992,0.02580378164783386,0.015723979316481593,-0.00022681058588701683,-0.07226319899344588,-0.09198705612869912,0.07933426100021605,0.01572397931648283,-0.00022681058588707362,-0.07226319899344741
m49,0.06505560918593427,0.11296238181425487,-0.058642214485746295,-0.058869312567648616,-0.052441469804587026,-0.0958498633432304,0.09584986245737605,-0.18044382131622183,-0.11608375408885359,-0.02691255838853695,-0.06292867150638948,1.0,0.15671880732032362,0.1385323103694298,-0.032076370339962364,0.18798031538280968,0.16563270355973825,0.027486330501148494,0.03774880070102942,0.19564686042769242,0.06080581439043926,-0.05763036106434091,0.17325487530119174,-0.10893020384229761,-0.03819629393617629,-0.009233389500496654,-0.1531363034069292,0.030218378304168406,0.06489409375226335,-0.0026199803068403557,,-0.0841879072522125,-0.040763550598538104,-0.13642398263678646,-0.07161082398066795,-0.09886765438022331,0.0003839035095588083,-0.012600020559965596,-0.09464981648748375,-0.04607414811597436,-0.09886765438022321,-0.08119029435417953,-0.012600020559965362,-0.09464981648748381,-0.04607414811597737
totalCases,-0.04420468402945444,0.17737955183212153,0.20545257602754086,0.33771392005091544,0.07941877376345637,0.13078999735017607,-0.13078999945157435,0.17858445038083623,0.17560640727946003,-0.03354661575375443,-0.16259278813494787,0.15671880732032362,1.0,0.8798207715409359,0.6410144448682579,0.9787616430513715,0.9445806382326898,0.3276081095401004,0.409792626999481,0.8672265205830109,0.02378462198749647,0.20272776373793955,-0.16828690030360688,0.36248514409342975,0.11280311247126565,-0.07584550362641068,-0.004069108529045464,0.10924741230584563,-0.3688088058126738,0.3180398755621594,,0.35363777084477427,-0.07587329256788801,-0.15083213447532057,0.29774287712509273,0.3983354885512831,-0.0658957619098997,0.17266610129225435,-0.024203365392887317,0.0259280320986704,0.39833548855128315,-0.3399260409744842,0.17266610129225557,-0.024203365392887304,0.02592803209866157
totalDeaths,-0.042966446214900304,0.16132774615755352,0.13320486289055,0.23760784345133298,0.03668674922820661,0.13854333725613718,-0.13854333968267907,0.24031224881162874,0.2342701559616878,0.04415228830764865,-0.16851874225282695,0.1385323103694298,0.8798207715409359,1.0,0.676028916124354,0.8221649940947718,0.8980420725886922,0.4397723411978551,0.7067870790594416,0.6984287729904871,0.017137693635294545,0.1303388730252415,-0.16303748885616884,0.41170657534258764,0.10479390387325949,-0.03514087514137842,0.03311550360641123,0.0920463968851648,-0.4125759007323262,0.3323502203611666,,0.3904747406560224,-0.08411955050910784,-0.11557449577512982,0.36260454450199847,0.43640702623622085,-0.07330558603645082,0.18934881876694346,-0.02869710234227945,0.029884920694742766,0.43640702623622096,-0.3224320610253053,0.18934881876694373,-0.02869710234227945,0.029884920694738432
totalRecovered,-0.047730464414208966,0.09875264712614164,0.4137285658089884,0.535602564072675,0.27455575812901534,0.09397715400840495,-0.09397715873484164,0.21246316802356124,0.22593536028773753,0.1025797572596741,-0.17913425876131964,-0.032076370339962364,0.6410144448682579,0.676028916124354,1.0,0.47109379188929723,0.6901771797751395,0.3391981775006556,0.4750888309498112,0.6602814410067517,0.0625012274299188,0.40887888150565604,-0.12802958072465595,0.220577993908132,0.1421683053963428,-0.07415470214196167,0.15390710481227332,-0.010149447016351605,-0.647673005346262,0.5930299463884521,,0.5204356564097637,-0.08478258569270565,-0.13264441770390373,0.277602754654753,0.5496115679811564,0.04901652526773157,0.1735348202699304,-0.02149374045300006,0.17939966409572525,0.5496115679811565,-0.39714451268588674,0.17353482026993033,-0.021493740453000038,0.17939966409572375
activeCases,-0.038010995893272,0.17677939592964653,0.13385117897774038,0.2548197601240367,0.024153043398020036,0.12364574397017093,-0.12364574509547141,0.14454636060418533,0.13782079973769829,-0.06887660067978042,-0.13842172556540533,0.18798031538280968,0.9787616430513715,0.8221649940947718,0.47109379188929723,1.0,0.8968048158462508,0.2770869132479855,0.3255261557506306,0.8444381088449247,0.013189560079300496,0.13198604508090087,-0.1596040903847258,0.35320134498261013,0.09326772621257473,-0.07251507453426752,-0.045735600729255484,0.12780529416052275,-0.2525859745819555,0.20967319097011455,,0.26733500987892655,-0.06429911142630679,-0.14100914025556607,0.263312534140123,0.3103056165359817,-0.08652884680562782,0.1506427385700153,-0.021744073780142485,-0.016339196348480325,0.3103056165359819,-0.2872378615453425,0.1506427385700168,-0.02174407378014248,-0.0163391963484902
criticalCases,-0.04977543720941314,0.16502140180475344,0.15800421119956115,0.2511786720105926,0.0393180319722622,0.14321869949039365,-0.14321870233692485,0.20140183319926802,0.1828998192606462,-0.010684242772523812,-0.15833445359302953,0.16563270355973825,0.9445806382326898,0.8980420725886922,0.6901771797751395,0.8968048158462508,1.0,0.3899506969406494,0.5290784403081172,0.786850831657952,0.0015101422006861109,0.15640913942490872,-0.16590443568213148,0.3664895856430468,0.06356083624725524,-0.020504901248155752,-0.03449130538141912,0.10899338212590899,-0.3482406280653188,0.3262943573606723,,0.37138169355580974,-0.08589713212061396,-0.14277443445287274,0.347712650756842,0.43384637712839924,-0.11381923088737013,0.1852444138949278,-0.03170469671125761,0.03938358885272347,0.43384637712839935,-0.3551387711286118,0.18524441389492866,-0.0317046967112576,0.03938358885271604
casesMPop,-0.02685410025155437,0.5577774239496183,-0.11307103521981515,-0.08885576613877984,-0.1252645781115376,0.35255300206147894,-0.3525529992952089,0.5072334511804322,0.3951100285157336,0.30521764768284015,-0.10987420804095963,0.027486330501148494,0.3276081095401004,0.4397723411978551,0.3391981775006556,0.2770869132479855,0.3899506969406494,1.0,0.6774985842663341,0.24487454983889018,0.6394478009716171,-0.11507725288135927,-0.4409257254705857,0.48560929650956064,-0.11454401910691846,-0.005854752415789845,0.13657148391023874,0.22358990020564948,-0.325342462229104,0.26599358829939485,,0.4087242691029362,0.6951934057326943,0.524688071076686,0.7311086329333448,0.4022937845966819,0.15704713529354963,0.084549865038337,0.0479217238600098,0.19467054494797237,0.4022937845966821,0.28903858896971496,0.08454986503833828,0.04792172386000983,0.19467054494796934
deathsMPop,-0.04031654000470305,0.26361933043648783,-0.05223544146937647,-0.022061314831769305,-0.07301083274540447,0.2259314574282386,-0.225931457122492,0.3766699958792519,0.3574550937299924,0.2284626899007025,-0.11758677511125164,0.03774880070102942,0.409792626999481,0.7067870790594416,0.4750888309498112,0.3255261557506306,0.5290784403081172,0.6774985842663341,1.0,0.2676471668441094,0.1174126784296213,-0.05445135739801471,-0.24301394461718914,0.4660081697689485,-0.005642274060232924,0.05283105298314512,0.17997872130934114,0.14039251424158067,-0.38055853906695236,0.2978045880610738,,0.4154809652793302,0.08889978126780987,0.1641594625821637,0.5295854451313763,0.4306010392699722,0.0472405718706511,0.14862092247808023,0.022971188693645405,0.11833057026926608,0.430601039269972,-0.06299185200499874,0.14862092247808098,0.02297118869364543,0.11833057026926388
totalTests,-0.03590721447051415,0.2413475682742758,0.22954430343149795,0.4552648992967533,0.07219423034000051,0.16304921078596565,-0.1630492136685253,0.15875915446265584,0.21311003858174227,-0.0012740806398783536,-0.1720486216688399,0.19564686042769242,0.8672265205830109,0.6984287729904871,0.6602814410067517,0.8444381088449247,0.786850831657952,0.24487454983889018,0.2676471668441094,1.0,0.13647266284779916,0.22370544470389805,-0.1239862155556867,0.3303402534099888,0.11441295953253051,-0.020401112343926255,0.08442224072424394,0.054965741057027895,-0.40252726665819644,0.290555231457433,,0.3354457133078972,-0.10310529969494461,-0.20297310817640546,0.2628263480852024,0.3803609942244793,-0.08061961835666705,0.15239886423106822,-0.028989721018702636,0.0606512196951973,0.3803609942244794,-0.38072814227128904,0.15239886423106952,-0.02898972101870263,0.06065121969518943
testsMPop,0.061089223042278096,0.5275357535154673,-0.14322709342939127,-0.16676669401681282,-0.11725062377388944,0.36080254948302704,-0.36080254674145346,0.391692927630016,0.2911579734113578,0.26786988385690375,-0.12163916123132017,0.06080581439043926,0.02378462198749647,0.017137693635294545,0.0625012274299188,0.013189560079300496,0.0015101422006861109,0.6394478009716171,0.1174126784296213,0.13647266284779916,1.0,-0.14445826241552506,-0.28768326018461965,0.26869536353283013,-0.20938587027686545,-0.028463969051703574,0.0966094401901467,0.161482193302708,-0.1888956153210723,0.017665803384189785,,0.056863480387071445,0.6545311967257024,0.4966123795095907,0.5001510625929371,0.048183919450825737,0.0032482258825144673,-0.02994699590692565,0.027225127382863652,0.0604593340517381,0.048183919450825785,0.4403211136959426,-0.029946995906924578,0.027225127382863628,0.06045933405173689
calcPop,-0.023875970867737427,-0.15582449590656922,0.9998383569071931,0.9531206891324484,0.9669170594166496,-0.20721870208840343,0.20721869694212264,-0.1748768789400614,-0.11025874969314677,0.026371877162509084,-0.16374415115376606,-0.05763036106434091,0.20272776373793955,0.1303388730252415,0.40887888150565604,0.13198604508090087,0.15640913942490872,-0.11507725288135927,-0.05445135739801471,0.22370544470389805,-0.14445826241552506,1.0,0.14130792554545188,-0.06188474647776305,0.1455697339698826,-0.24307098407225508,0.11374901891633127,-0.11773883791868563,-0.4266012993159227,0.33864956481884684,,0.25605054824960877,-0.11705080137072486,-0.48309377989423097,-0.25825573541135666,0.2434895775862805,0.09108379808436064,0.12311947183515705,-0.033817124637147596,0.028862674939174746,0.2434895775862803,-0.5733720269858092,0.12311947183515694,-0.03381712463714758,0.028862674939173813
pdi,0.056918834524412106,-0.27775119445479335,0.1407529176824596,0.12508741765633555,0.14381692479268102,-0.2802313309613266,0.280231332508168,-0.4443378058861419,-0.39813807201771223,-0.03628226642471466,0.02235263530268961,0.17325487530119174,-0.16828690030360688,-0.16303748885616884,-0.12802958072465595,-0.1596040903847258,-0.16590443568213148,-0.4409257254705857,-0.24301394461718914,-0.1239862155556867,-0.28768326018461965,0.14130792554545188,1.0,-0.6643287811374577,0.18899504640377898,0.2035022985777977,-0.008226405675517136,-0.33222382802156114,0.18014793544902818,-0.12452719875972769,,-0.26702585613133534,-0.2757708044213075,-0.42261472761326024,-0.4619626816662606,-0.2769692253787384,-0.1453989000093816,0.0019167002917674842,-0.2206919709813362,-0.18730312376669742,-0.2769692253787386,-0.27439113158972,0.0019167002917693978,-0.22069197098133625,-0.18730312376669783
