,popDensity,gdp,gapPop,urbanPop,ruralPop,urbanPct,ruralPct,lifeExpectancy,medianAge,regionCode,subRegionCode,m49,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,pdi,idv,mas,uai,ltowvs,ivr,date,cases,daysGT100,logCases,casesPop,logCasesPop,logCasesMPop,slope,intercept,rvalue,pvalue,stderr,slopePop,interceptPop,rvaluePop,pvaluePop,stderrPop
popDensity,1.0,0.3041253773260376,-0.02890009580555787,-0.04345636513297717,-0.01437206772255215,0.2533339434303346,-0.25333394228468276,0.23165565282589676,0.15045722606281142,0.12403264607756091,-0.1782405475929023,0.06020721434284794,-0.051003601884433446,-0.05084843944864221,-0.05611875550252726,-0.04353285304598272,-0.057984194743563595,-0.03939573748603176,-0.05085686731449908,-0.043951314877182714,0.05404069346104929,-0.028778238997768227,0.06468930690553003,-0.13578913288290864,0.03696688169592012,-0.36267071806448176,0.17260124189660303,-0.08991733619878804,-0.2086915354253816,-0.09404583541275131,,-0.2307765313348932,-0.05486688416347383,-0.08426441090562879,0.014567883895723263,-0.21351123494646554,-0.2668090271607652,-0.055529495721135705,-0.009172177246994213,-0.14017449273763516,-0.21351123494646557,0.0403717527624564,-0.055529495721137766,-0.009172177246994347,-0.1401744927376348
gdp,0.3041253773260376,1.0,-0.18520431923887262,-0.1519740391681174,-0.20089460758945785,0.606976370551019,-0.6069763684405842,0.5749450903315187,0.38778513987983804,0.2536187829767802,-0.10268738123773352,0.11944065619782952,0.15247979289380134,0.13538038012080691,0.06098150457359567,0.1580297623526201,0.1363760880060687,0.5319932745959247,0.23277541803964133,0.21349865874417137,0.5113927185095849,-0.18723372405142003,-0.24538125648647927,0.3510806434011761,-0.0031157560686884203,-0.15887153046701194,0.17999936657993246,0.4197333661889881,-0.31463368725509916,0.07800332773199534,,0.08928029364012166,0.41109175238227097,0.4488533888290605,0.6006130183302202,0.04926417377215084,0.0480055534364968,-0.0055068719584130685,-0.08241918929690878,-0.015938631745584145,0.04926417377215083,0.33813231862908244,-0.005506871958414514,-0.08241918929690766,-0.015938631745580915
gapPop,-0.02890009580555787,-0.18520431923887262,1.0,0.9556139329988004,0.9647737188329089,-0.26231215007046527,0.2623121441493489,-0.22220069571250634,-0.13621849940933373,0.027329282526947874,-0.16166716160091507,-0.06913243189069657,0.19978773723428012,0.1269398032915678,0.4101231550365579,0.12848064216763125,0.1550992942815576,-0.13142603455680485,-0.06336791829958174,0.2256674013021253,-0.15442379381640486,0.9998692014678758,0.14295237658798254,-0.0749001108879643,0.14325055477178167,-0.252218987144888,0.13649533921448423,-0.1469903923128635,-0.4654792720780021,0.4108477845538703,,0.3107967721758347,-0.14083110097234208,-0.4030537214917691,-0.3025815177820069,0.30179441077499836,0.06891245899158341,0.11526698172904558,-0.003587967505966957,0.06919915821506686,0.3017944107749984,-0.5777093321291299,0.11526698172904644,-0.0035879675059672664,0.06919915821506616
urbanPop,-0.04345636513297717,-0.1519740391681174,0.9556139329988004,1.0,0.8445621826398199,-0.16602893710983468,0.1660289316189309,-0.16146202408304003,-0.09052476849651314,-0.02275333618614959,-0.12894215575823534,-0.06926631273604031,0.33150105555866766,0.23017778779025969,0.5315782640490397,0.24884670429253775,0.24617459392778648,-0.11279605177905523,-0.03670937056625202,0.4520684272454004,-0.18817130159796233,0.9529639396787727,0.1294819390509299,-0.05378869836861329,0.18104985631489975,-0.22778165542356704,0.14971275646021212,-0.08833501142660058,-0.5814262234590514,0.5415381127850496,,0.3967359642436148,-0.1582440816033245,-0.38139920824602763,-0.24746278268951294,0.3902620055761062,0.08880893946220025,0.13806764640812536,-0.026259042847016696,0.1063998729857116,0.3902620055761062,-0.6180437825049866,0.13806764640812627,-0.026259042847016988,0.10639987298571192
ruralPop,-0.01437206772255215,-0.20089460758945785,0.9647737188329089,0.8445621826398199,1.0,-0.3273089686361332,0.32730896271301635,-0.26081077772641403,-0.16816842600288787,0.06724341957931564,-0.17810309405810382,-0.06225577264616781,0.07515602055126626,0.032237032323328293,0.2719682070430944,0.020169014155880294,0.039432348618879835,-0.13746643719396193,-0.08024586970242951,0.06996449598631306,-0.12158458070173184,0.966945700263671,0.14388576696384592,-0.08516229341787097,0.10023767018613139,-0.254159876653193,0.11263161542869479,-0.18586299999985217,-0.32547411487454936,0.26612245254383715,,0.21445791337422715,-0.11669474585542226,-0.3956895153143918,-0.3296368546126855,0.2040601823762038,0.04421601020132005,0.08807379211140064,0.016428018982976002,0.03023743957592839,0.20406018237620385,-0.5046511587836031,0.08807379211140146,0.016428018982975676,0.030237439575926693
urbanPct,0.2533339434303346,0.606976370551019,-0.26231215007046527,-0.16602893710983468,-0.3273089686361332,1.0,-0.9999999999999993,0.563747970932548,0.2490112378278809,-0.08327959396521954,0.28781064482445023,-0.0788896105484143,0.10001744441633827,0.10926569001622594,0.04832658548901,0.10016494275390059,0.11374536569175307,0.3046505067177262,0.19178683616339376,0.12300098718243727,0.3337539327926272,-0.2661584296827508,-0.2650973589280128,0.27272658032094077,-0.026440964574950807,0.117770889309704,-0.049210622914238604,0.54469290754569,-0.23281832547892045,0.058509211186893735,,0.07793231483327957,0.20470964448263365,0.3414235407129552,0.4543573476281215,0.05527565688576218,0.048958998755019405,-0.029177215385575363,-0.17684032223274262,0.05119496452728381,0.05527565688576211,0.258132466011203,-0.02917721538557609,-0.17684032223274115,0.05119496452728624
ruralPct,-0.25333394228468276,-0.6069763684405842,0.2623121441493489,0.1660289316189309,0.32730896271301635,-0.9999999999999993,1.0,-0.5637479660111078,-0.24901124215869413,0.08327959124269196,-0.2878106446957539,0.07888960755526482,-0.10001744780424887,-0.10926569366521818,-0.048326592033590555,-0.10016494486345506,-0.11374536995905153,-0.3046505053795905,-0.19178683702675178,-0.12300099183068401,-0.3337539310961558,0.2661584236170207,0.26509736167773834,-0.27272658192497184,0.026440962588215954,-0.11777089488213248,0.049210614489462484,-0.5446929014252765,0.23281833209858874,-0.05850921753029199,,-0.07793232632714078,-0.2047096422646991,-0.3414235417832982,-0.4543573501923346,-0.05527566733274278,-0.048959002959159836,0.029177208314133563,0.17684033015011025,-0.051194967428102464,-0.05527566733274269,-0.25813245930329803,0.029177208314134312,0.1768403301501087,-0.05119496742810489
lifeExpectancy,0.23165565282589676,0.5749450903315187,-0.22220069571250634,-0.16146202408304003,-0.26081077772641403,0.563747970932548,-0.5637479660111078,1.0,0.6819746642113398,0.22661062635404866,-0.1014113224024953,-0.2094220418647299,0.1593135751887092,0.23657029759204165,0.18972003284141997,0.12739934081366602,0.19474403749339592,0.5117846047422828,0.3864129106805984,0.1167212226909449,0.3927075967952053,-0.22824788686875877,-0.46725082626240083,0.4243101834456298,-0.0710409311876092,-0.008845999061590722,0.18632122156816694,0.39679052303713364,-0.4007924937860775,0.18513291745196392,,0.19752640909302369,0.3449821795711458,0.5573698270412587,0.6462949003168937,0.19950816135559318,0.02899851993559361,0.038609697790584076,0.009631021994896728,0.04358839822043188,0.19950816135559307,0.3585040065511226,0.03860969779058324,0.009631021994897477,0.04358839822043505
medianAge,0.15045722606281142,0.38778513987983804,-0.13621849940933373,-0.09052476849651314,-0.16816842600288787,0.2490112378278809,-0.24901124215869413,0.6819746642113398,1.0,0.5038849274576798,-0.29774547417986025,-0.10442548778409677,0.15839941540269734,0.22772299190508805,0.20969508712600676,0.12168637624687693,0.16668979342047693,0.3640228488330065,0.3559727045772786,0.1912014392397992,0.2577528569276896,-0.1429775785290516,-0.37869251428643974,0.5016775596790782,-0.11603788438454676,0.08878798053783879,0.605029485863712,0.010728088890565925,-0.35294105340899834,0.17263618479553128,,0.19103266623297363,0.21325653643302125,0.5053832565040391,0.5706434877963634,0.20740772599063695,-0.04792614793140143,0.1319960092149602,-0.04354645713120691,-0.039840459221812057,0.2074077259906369,0.30070266624157926,0.13199600921495921,-0.04354645713120584,-0.03984045922180864
regionCode,0.12403264607756091,0.2536187829767802,0.027329282526947874,-0.02275333618614959,0.06724341957931564,-0.08327959396521954,0.08327959124269196,0.22661062635404866,0.5038849274576798,1.0,-0.5255826484166265,0.04685427624559031,-0.07247139698450415,0.020876850575382164,0.07736606494679993,-0.1069516365029223,-0.03886224030514522,0.2742027687243672,0.2191524559821143,-0.04249982833251006,0.23811850281834795,0.026156236198092563,0.01691125130875819,0.14474285897598568,-0.13143116610525674,-0.04224497776374054,0.6139356566659456,-0.3255622653676942,-0.24584515700280135,0.05980643519137571,,0.046533188186335665,0.21437547726844852,0.27854873424620485,0.3048563825430657,0.039341051310154855,0.005596842247814122,0.06999286566671033,0.0702503976327418,-0.054529208984830504,0.03934105131015482,0.21609866135014455,0.06999286566670886,0.0702503976327423,-0.054529208984828756
