,Entity,code,popDensity,gdp,gapPop,urbanPop,ruralPop,urbanPct,ruralPct,lifeExpectancy,medianAge,globalCode,globalName,regionCode,regionName,subRegionCode,subRegionName,interRegionCode,interRegionName,country,m49,ldc,lldc,sids,development,countryWom,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,pdi,idv,mas,uai,ltowvs,ivr,date,cases,daysGT100,logCases,casesPop,logCasesPop,logCasesMPop,slope,intercept,rvalue,pvalue,stderr,slopePop,interceptPop,rvaluePop,pvaluePop,stderrPop
5,Austria,AUT,104.7307902,44304.96776,8678657,4988134,3654565,57.715,42.285,81.1902439,43.200001,1,World,150,Europe,155,Western Europe,,,Austria,40,,,,Developed,Austria,14350,393,8098,5859,232,1593,44,156801,17410,9008161,11,55,79,70,60,63,1584576000,1646,10,7.406103381,0.000182723,-8.607538121,7.37337431,1.45E-06,-2295.677502,0.922219298,1.99E-16,1.02E-07,1.45E-06,-2311.691144,0.922219298,1.99E-16,1.02E-07
5,Austria,AUT,104.7307902,44304.96776,8678657,4988134,3654565,57.715,42.285,81.1902439,43.200001,1,World,150,Europe,155,Western Europe,,,Austria,40,,,,Developed,Austria,14350,393,8098,5859,232,1593,44,156801,17410,9008161,11,55,79,70,60,63,1584144000,504,5,6.222576268,5.59E-05,-9.791065234,7.37337431,1.45E-06,-2295.677502,0.922219298,1.99E-16,1.02E-07,1.45E-06,-2311.691144,0.922219298,1.99E-16,1.02E-07
6,Azerbaijan,AZE,116.7310768,16698.86365,9617484,5279540,4369801,54.714,45.285999,71.921,30.299999,1,World,142,Asia,145,Western Asia,,,Azerbaijan,31,,1,,Developing,Azerbaijan,1253,13,404,836,24,124,1,75397,7436,10104839,,,,,61,22,1586131200,584,10,6.369900983,5.78E-05,-9.758623993,4.820281566,1.38E-06,-2184.720361,0.985707652,2.24E-15,5.56E-08,1.38E-06,-2200.848885,0.985707652,2.24E-15,5.56E-08
6,Azerbaijan,AZE,116.7310768,16698.86365,9617484,5279540,4369801,54.714,45.285999,71.921,30.299999,1,World,142,Asia,145,Western Asia,,,Azerbaijan,31,,1,,Developing,Azerbaijan,1253,13,404,836,24,124,1,75397,7436,10104839,,,,,61,22,1585699200,298,5,5.697093487,2.95E-05,-10.43143149,4.820281566,1.38E-06,-2184.720361,0.985707652,2.24E-15,5.56E-08,1.38E-06,-2200.848885,0.985707652,2.24E-15,5.56E-08
2,Belgium,BEL,372.3314399,41708.21234,11287940,11034732,239464,97.876,2.1240001,80.99268293,41.299999,1,World,150,Europe,155,Western Europe,,,Belgium,56,,,,Developed,Belgium,33573,4440,7107,22026,1204,2897,383,128132,11056,11588885,65,75,54,94,82,57,1586563200,26667,35,10.19118212,0.002301084,-6.074374882,7.971430998,1.70E-06,-2687.67436,0.977720512,2.27E-27,5.92E-08,1.70E-06,-2703.939917,0.977720512,2.27E-27,5.92E-08
2,Belgium,BEL,372.3314399,41708.21234,11287940,11034732,239464,97.876,2.1240001,80.99268293,41.299999,1,World,150,Europe,155,Western Europe,,,Belgium,56,,,,Developed,Belgium,33573,4440,7107,22026,1204,2897,383,128132,11056,11588885,65,75,54,94,82,57,1586131200,19691,30,9.887916958,0.001699128,-6.37764005,7.971430998,1.70E-06,-2687.67436,0.977720512,2.27E-27,5.92E-08,1.70E-06,-2703.939917,0.977720512,2.27E-27,5.92E-08
6,Belgium,BEL,372.3314399,41708.21234,11287940,11034732,239464,97.876,2.1240001,80.99268293,41.299999,1,World,150,Europe,155,Western Europe,,,Belgium,56,,,,Developed,Belgium,33573,4440,7107,22026,1204,2897,383,128132,11056,11588885,65,75,54,94,82,57,1585267200,6235,20,8.737933858,0.000538016,-7.527623149,7.971430998,1.70E-06,-2687.67436,0.977720512,2.27E-27,5.92E-08,1.70E-06,-2703.939917,0.977720512,2.27E-27,5.92E-08
8,Belgium,BEL,372.3314399,41708.21234,11287940,11034732,239464,97.876,2.1240001,80.99268293,41.299999,1,World,150,Europe,155,Western Europe,,,Belgium,56,,,,Developed,Belgium,33573,4440,7107,22026,1204,2897,383,128132,11056,11588885,65,75,54,94,82,57,1584403200,1085,10,6.989335266,9.36E-05,-9.276221741,7.971430998,1.70E-06,-2687.67436,0.977720512,2.27E-27,5.92E-08,1.70E-06,-2703.939917,0.977720512,2.27E-27,5.92E-08
9,Belgium,BEL,372.3314399,41708.21234,11287940,11034732,239464,97.876,2.1240001,80.99268293,41.299999,1,World,150,Europe,155,Western Europe,,,Belgium,56,,,,Developed,Belgium,33573,4440,7107,22026,1204,2897,383,128132,11056,11588885,65,75,54,94,82,57,1583971200,314,5,5.749392986,2.71E-05,-10.51616402,7.971430998,1.70E-06,-2687.67436,0.977720512,2.27E-27,5.92E-08,1.70E-06,-2703.939917,0.977720512,2.27E-27,5.92E-08
10,Burkina Faso,BFA,66.19380117,1596.334581,18110624,4985855,13124769,27.53,72.470001,59.927,17,1,World,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Burkina Faso,854,1,1,,Developing,Burkina Faso,542,32,226,284,,26,2,,,20846154,70,15,50,55,27,18,1586908800,528,20,6.269096284,2.53E-05,-10.58358375,3.258096538,8.45E-07,-1334.439756,0.980159861,8.13E-15,3.92E-08,8.45E-07,-1351.292436,0.980159861,8.13E-15,3.92E-08
12,Burkina Faso,BFA,66.19380117,1596.334581,18110624,4985855,13124769,27.53,72.470001,59.927,17,1,World,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Burkina Faso,854,1,1,,Developing,Burkina Faso,542,32,226,284,,26,2,,,20846154,70,15,50,55,27,18,1586044800,302,10,5.710427017,1.45E-05,-11.14225301,3.258096538,8.45E-07,-1334.439756,0.980159861,8.13E-15,3.92E-08,8.45E-07,-1351.292436,0.980159861,8.13E-15,3.92E-08
13,Burkina Faso,BFA,66.19380117,1596.334581,18110624,4985855,13124769,27.53,72.470001,59.927,17,1,World,2,Africa,202,Sub-Saharan Africa,11,Western Africa,Burkina Faso,854,1,1,,Developing,Burkina Faso,542,32,226,284,,26,2,,,20846154,70,15,50,55,27,18,1585612800,222,5,5.402677382,1.06E-05,-11.45000265,3.258096538,8.45E-07,-1334.439756,0.980159861,8.13E-15,3.92E-08,8.45E-07,-1351.292436,0.980159861,8.13E-15,3.92E-08
7,Bangladesh,BGD,1238.387386,3132.56754,161200886,55304800,105896086,34.308,65.692001,72.155,25.6,1,World,142,Asia,34,Southern Asia,,,Bangladesh,50,1,,,Developing,Bangladesh,1231,50,49,1132,1,7,0.3,14868,90,175857143,80,20,55,60,47,20,1586649600,482,5,6.177944114,2.74E-06,-12.80723842,1.945910149,3.02E-06,-4789.25803,0.994710236,3.53E-08,1.18E-07,3.02E-06,-4808.243213,0.994710236,3.53E-08,1.18E-07
9,Bulgaria,BGR,66.120035,17000.17804,7177396,5310996,1866995,73.99,26.01,74.61463415,43.5,1,World,150,Europe,151,Eastern Europe,,,Bulgaria,100,,,,Developed,Bulgaria,747,36,105,606,31,108,5,18502,2663,6916667,70,30,40,85,69,16,1586390400,593,20,6.385194399,8.57E-05,-9.364250165,4.682131227,7.78E-07,-1227.06909,0.966990184,2.33E-16,4.10E-08,7.78E-07,-1242.818535,0.966990184,2.33E-16,4.10E-08
11,Bulgaria,BGR,66.120035,17000.17804,7177396,5310996,1866995,73.99,26.01,74.61463415,43.5,1,World,150,Europe,151,Eastern Europe,,,Bulgaria,100,,,,Developed,Bulgaria,747,36,105,606,31,108,5,18502,2663,6916667,70,30,40,85,69,16,1585526400,346,10,5.846438775,5.00E-05,-9.903005789,4.682131227,7.78E-07,-1227.06909,0.966990184,2.33E-16,4.10E-08,7.78E-07,-1242.818535,0.966990184,2.33E-16,4.10E-08
12,Bulgaria,BGR,66.120035,17000.17804,7177396,5310996,1866995,73.99,26.01,74.61463415,43.5,1,World,150,Europe,151,Eastern Europe,,,Bulgaria,100,,,,Developed,Bulgaria,747,36,105,606,31,108,5,18502,2663,6916667,70,30,40,85,69,16,1585094400,220,5,5.393627546,3.18E-05,-10.35581702,4.682131227,7.78E-07,-1227.06909,0.966990184,2.33E-16,4.10E-08,7.78E-07,-1242.818535,0.966990184,2.33E-16,4.10E-08
7,Bosnia and Herzegovina,BIH,69.06173828,10932.45948,3535961,1668019,1867942,47.173,52.827,76.735,41,1,World,150,Europe,39,Southern Europe,,,Bosnia and Herzegovina,70,,,,Developed,Bosnia and Herzegovina,1110,41,253,816,4,338,12,13339,4066,3284024,,,,,70,44,1586649600,948,20,6.854354502,0.00028867,-8.150225555,5.823045895,1.14E-06,-1799.019369,0.978017839,1.80E-16,5.17E-08,1.14E-06,-1814.023949,0.978017839,1.80E-16,5.17E-08
9,Bosnia and Herzegovina,BIH,69.06173828,10932.45948,3535961,1668019,1867942,47.173,52.827,76.735,41,1,World,150,Europe,39,Southern Europe,,,Bosnia and Herzegovina,70,,,,Developed,Bosnia and Herzegovina,1110,41,253,816,4,338,12,13339,4066,3284024,,,,,70,44,1585785600,464,10,6.139884552,0.00014129,-8.864695505,5.823045895,1.14E-06,-1799.019369,0.978017839,1.80E-16,5.17E-08,1.14E-06,-1814.023949,0.978017839,1.80E-16,5.17E-08
10,Bosnia and Herzegovina,BIH,69.06173828,10932.45948,3535961,1668019,1867942,47.173,52.827,76.735,41,1,World,150,Europe,39,Southern Europe,,,Bosnia and Herzegovina,70,,,,Developed,Bosnia and Herzegovina,1110,41,253,816,4,338,12,13339,4066,3284024,,,,,70,44,1585353600,229,5,5.433722004,6.97E-05,-9.570858054,5.823045895,1.14E-06,-1799.019369,0.978017839,1.80E-16,5.17E-08,1.14E-06,-1814.023949,0.978017839,1.80E-16,5.17E-08
7,Belarus,BLR,46.76761126,17229.55519,9485772,7324181,2165435,77.181,22.819,73.62439024,39.599998,1,World,150,Europe,151,Eastern Europe,,,Belarus,112,,,,Developed,Belarus,3728,36,203,3489,68,395,4,76198,8064,9437975,,,,,81,15,1586476800,1486,10,7.303843225,0.000157449,-8.756408777,5.978885765,2.75E-06,-4356.218131,0.993114679,1.93E-14,8.67E-08,2.75E-06,-4372.278383,0.993114679,1.93E-14,8.67E-08
8,Belarus,BLR,46.76761126,17229.55519,9485772,7324181,2165435,77.181,22.819,73.62439024,39.599998,1,World,150,Europe,151,Eastern Europe,,,Belarus,112,,,,Developed,Belarus,3728,36,203,3489,68,395,4,76198,8064,9437975,,,,,81,15,1586044800,394,5,5.976350909,4.17E-05,-10.08390109,5.978885765,2.75E-06,-4356.218131,0.993114679,1.93E-14,8.67E-08,2.75E-06,-4372.278383,0.993114679,1.93E-14,8.67E-08
3,Brazil,BRA,24.64209836,14702.59127,205962108,176653700,29308408,85.77,14.23,75.284,31.299999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Brazil,76,,,,Developing,Brazil,28912,1760,14026,13126,296,136,8,62985,296,212588235,69,38,49,76,44,59,1586822400,23430,30,10.06177253,0.000110213,-9.113095152,4.912654886,1.87E-06,-2962.055241,0.974504015,5.00E-21,7.87E-08,1.87E-06,-2981.230109,0.974504015,5.00E-21,7.87E-08
8,Brazil,BRA,24.64209836,14702.59127,205962108,176653700,29308408,85.77,14.23,75.284,31.299999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Brazil,76,,,,Developing,Brazil,28912,1760,14026,13126,296,136,8,62985,296,212588235,69,38,49,76,44,59,1585958400,9056,20,9.1111828,4.26E-05,-10.06368488,4.912654886,1.87E-06,-2962.055241,0.974504015,5.00E-21,7.87E-08,1.87E-06,-2981.230109,0.974504015,5.00E-21,7.87E-08
10,Brazil,BRA,24.64209836,14702.59127,205962108,176653700,29308408,85.77,14.23,75.284,31.299999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Brazil,76,,,,Developing,Brazil,28912,1760,14026,13126,296,136,8,62985,296,212588235,69,38,49,76,44,59,1585094400,2201,10,7.696667082,1.04E-05,-11.4782006,4.912654886,1.87E-06,-2962.055241,0.974504015,5.00E-21,7.87E-08,1.87E-06,-2981.230109,0.974504015,5.00E-21,7.87E-08
11,Brazil,BRA,24.64209836,14702.59127,205962108,176653700,29308408,85.77,14.23,75.284,31.299999,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Brazil,76,,,,Developing,Brazil,28912,1760,14026,13126,296,136,8,62985,296,212588235,69,38,49,76,44,59,1584662400,621,5,6.431331082,2.92E-06,-12.7435366,4.912654886,1.87E-06,-2962.055241,0.974504015,5.00E-21,7.87E-08,1.87E-06,-2981.230109,0.974504015,5.00E-21,7.87E-08
4,Canada,CAN,3.940449068,43149.47584,35949709,29117142,6715371,81.259,18.740999,82.12902439,40.5,1,World,19,Americas,21,Northern America,,,Canada,124,,,,Developed,Canada,28379,1010,8979,18390,557,752,27,467736,12393,37738032,39,80,52,48,36,68,1586563200,22133,30,10.00482499,0.000586491,-7.441353964,6.622736324,1.91E-06,-3017.534098,0.976406706,1.52E-23,7.35E-08,1.91E-06,-3034.980277,0.976406706,1.52E-23,7.35E-08
11,Canada,CAN,3.940449068,43149.47584,35949709,29117142,6715371,81.259,18.740999,82.12902439,40.5,1,World,19,Americas,21,Northern America,,,Canada,124,,,,Developed,Canada,28379,1010,8979,18390,557,752,27,467736,12393,37738032,39,80,52,48,36,68,1585699200,8536,20,9.052047793,0.000226191,-8.394131157,6.622736324,1.91E-06,-3017.534098,0.976406706,1.52E-23,7.35E-08,1.91E-06,-3034.980277,0.976406706,1.52E-23,7.35E-08
13,Canada,CAN,3.940449068,43149.47584,35949709,29117142,6715371,81.259,18.740999,82.12902439,40.5,1,World,19,Americas,21,Northern America,,,Canada,124,,,,Developed,Canada,28379,1010,8979,18390,557,752,27,467736,12393,37738032,39,80,52,48,36,68,1584835200,1302,10,7.171656823,3.45E-05,-10.27452213,6.622736324,1.91E-06,-3017.534098,0.976406706,1.52E-23,7.35E-08,1.91E-06,-3034.980277,0.976406706,1.52E-23,7.35E-08
14,Canada,CAN,3.940449068,43149.47584,35949709,29117142,6715371,81.259,18.740999,82.12902439,40.5,1,World,19,Americas,21,Northern America,,,Canada,124,,,,Developed,Canada,28379,1010,8979,18390,557,752,27,467736,12393,37738032,39,80,52,48,36,68,1584403200,424,5,6.049733455,1.12E-05,-11.3964455,6.622736324,1.91E-06,-3017.534098,0.976406706,1.52E-23,7.35E-08,1.91E-06,-3034.980277,0.976406706,1.52E-23,7.35E-08
18,Switzerland,CHE,209.5960117,57264.1574,8319769,6105617,2176779,73.718,26.282,82.89756098,42.200001,1,World,150,Europe,155,Western Europe,,,Switzerland,756,,,,Developed,Switzerland,26336,1239,15400,9697,386,3043,143,199000,22993,8654617,34,68,70,58,74,66,1586563200,24228,35,10.09526427,0.002799431,-5.878339226,8.02059915,1.41E-06,-2226.328857,0.942661076,1.06E-19,8.10E-08,1.41E-06,-2242.302461,0.942661076,1.06E-19,8.10E-08
38,Switzerland,CHE,209.5960117,57264.1574,8319769,6105617,2176779,73.718,26.282,82.89756098,42.200001,1,World,150,Europe,155,Western Europe,,,Switzerland,756,,,,Developed,Switzerland,26336,1239,15400,9697,386,3043,143,199000,22993,8654617,34,68,70,58,74,66,1586131200,21022,30,9.953324787,0.002428993,-6.020278706,8.02059915,1.41E-06,-2226.328857,0.942661076,1.06E-19,8.10E-08,1.41E-06,-2242.302461,0.942661076,1.06E-19,8.10E-08
72,Switzerland,CHE,209.5960117,57264.1574,8319769,6105617,2176779,73.718,26.282,82.89756098,42.200001,1,World,150,Europe,155,Western Europe,,,Switzerland,756,,,,Developed,Switzerland,26336,1239,15400,9697,386,3043,143,199000,22993,8654617,34,68,70,58,74,66,1585267200,10714,20,9.279306576,0.001237952,-6.694296917,8.02059915,1.41E-06,-2226.328857,0.942661076,1.06E-19,8.10E-08,1.41E-06,-2242.302461,0.942661076,1.06E-19,8.10E-08
83,Switzerland,CHE,209.5960117,57264.1574,8319769,6105617,2176779,73.718,26.282,82.89756098,42.200001,1,World,150,Europe,155,Western Europe,,,Switzerland,756,,,,Developed,Switzerland,26336,1239,15400,9697,386,3043,143,199000,22993,8654617,34,68,70,58,74,66,1584403200,2200,10,7.696212639,0.0002542,-8.277390854,8.02059915,1.41E-06,-2226.328857,0.942661076,1.06E-19,8.10E-08,1.41E-06,-2242.302461,0.942661076,1.06E-19,8.10E-08
86,Switzerland,CHE,209.5960117,57264.1574,8319769,6105617,2176779,73.718,26.282,82.89756098,42.200001,1,World,150,Europe,155,Western Europe,,,Switzerland,756,,,,Developed,Switzerland,26336,1239,15400,9697,386,3043,143,199000,22993,8654617,34,68,70,58,74,66,1583971200,642,5,6.464588304,7.42E-05,-9.50901519,8.02059915,1.41E-06,-2226.328857,0.942661076,1.06E-19,8.10E-08,1.41E-06,-2242.302461,0.942661076,1.06E-19,8.10E-08
12,Chile,CHL,23.88959856,22516.60786,17762681,15517478,2245203,87.36,12.64,79.315,33.700001,1,World,19,Americas,419,Latin America and the Caribbean,5,South America,Chile,152,,,,Developing,Chile,8273,94,2937,5242,389,433,5,91873,4806,19106236,63,23,28,86,31,68,1586131200,4471,20,8.405367376,0.000234007,-8.360157956,6.070737728,1.52E-06,-2407.292419,0.972562287,2.84E-19,6.88E-08,1.52E-06,-2424.057945,0.972562287,2.84E-19,6.88E-08
